,2 Become 1_Spice Girls
0,sporty
1,scary
2,candle
3,light
4,soul
5,forever
6,dream
7,together
8,say
9,believe
10,say
11,believe
12,free
13,mind
14,doubt
15,danger
16,real
17,stranger
18,achieve
19,achieve
20,prechorus
21,baby
22,come
23,little
24,bit
25,closer
26,baby
27,get
28,get
29,'cause
30,tonight
31,night
32,two
33,become
34,one
35,ginger
36,baby
37,sporty
38,posh
39,scary
40,need
41,love
42,like
43,never
44,needed
45,love
46,wanna
47,make
48,love
49,ya
50,baby
51,little
52,love
53,i'm
54,back
55,wanna
56,make
57,love
58,ya
59,baby
60,set
61,spirit
62,free
63,way
64,sporty
65,ginger
66,silly
67,games
68,playing
69,empty
70,words
71,saying
72,let's
73,work
74,boy
75,let's
76,work
77,boy
78,deal
79,endeavour
80,boys
81,girls
82,feel
83,good
84,together
85,take
86,leave
87,take
88,leave
89,prechorus
90,baby
91,good
92,remember
93,baby
94,get
95,get
96,'cause
97,tonight
98,night
99,two
100,become
101,one
102,ginger
103,baby
104,sporty
105,posh
106,scary
107,need
108,love
109,like
110,never
111,needed
112,love
113,wanna
114,make
115,love
116,ya
117,baby
118,little
119,love
120,i'm
121,back
122,wanna
123,make
124,love
125,ya
126,baby
127,set
128,spirit
129,free
130,way
131,baby
132,little
133,bit
134,wiser
135,baby
136,put
137,put
138,'cause
139,tonight
140,night
141,two
142,become
143,one
144,ginger
145,baby
146,sporty
147,posh
148,scary
149,need
150,love
151,like
152,never
153,needed
154,love
155,wanna
156,make
157,love
158,ya
159,baby
160,little
161,love
162,i'm
163,back
164,wanna
165,make
166,love
167,ya
168,baby
169,need
170,love
171,like
172,never
173,needed
174,love
175,wanna
176,make
177,love
178,ya
179,baby
180,little
181,love
182,i'm
183,back
184,wanna
185,make
186,love
187,ya
188,baby
189,set
190,spirit
191,free
192,way
193,scary
194,way
195,way
