,She's A Lady_Forever the Sickest Kids
0,i'm
1,love
2,girl
3,i
4,hate
5,she
6,enjoys
7,pointing
8,every
9,bad
10,thing
11,me
12,i'm
13,love
14,critic
15,skeptic
16,traitor
17,i'd
18,trade
19,her
20,second
21,backseat
22,driver
23,drama
24,provider
25,instant
26,update
27,world
28,first
29,class
30,liar
31,constant
32,forgetter
33,attractive
34,bitter
35,prechorus
36,you
37,scream
38,enough
39,make
40,her
41,cry
42,turn
43,around
44,turn
45,around
46,baby
47,return
48,me
49,you
50,think
51,i'm
52,worth
53,your
54,time
55,lady
56,ladies
57,messed
58,lady
59,ladies
60,messed
61,take
62,your
63,shoes
64,come
65,room
66,baby
67,let's
68,try
69,argue
70,turn
71,lights
72,turn
73,radio
74,fight
75,i'm
76,busy
77,loving
78,you
79,i'm
80,busy
81,loving
82,you
83,i'm
84,busy
85,loving
86,you
87,prechorus
88,you
89,scream
90,enough
91,make
92,her
93,cry
94,turn
95,around
96,turn
97,around
98,baby
99,return
100,me
101,you
102,think
103,i'm
104,worth
105,your
106,time
107,lady
108,ladies
109,messed
110,lady
111,ladies
112,messed
113,i
114,you
115,go
116,ever
117,eighteen
118,i'm
119,worn
120,fighting
121,every
122,night
123,you
124,leave
125,crying
126,i
127,i
128,could
129,use
130,time
131,i
132,you
133,go
134,i
135,i'm
136,dying
137,i'm
138,waiting
139,you
140,waiting
141,you
142,come
143,back
144,come
145,back
146,me
147,i'll
148,take
149,you
150,gladly
151,well
152,i'll
153,take
154,you
155,time
156,prechorus
157,you
158,scream
159,enough
160,make
161,her
162,cry
163,turn
164,around
165,turn
166,around
167,baby
168,return
169,me
170,you
171,think
172,i'm
173,worth
174,your
175,time
176,you
177,scream
178,enough
179,make
180,her
181,cry
182,turn
183,around
184,turn
185,around
186,baby
187,return
188,me
189,you
190,think
191,i'm
192,worth
193,your
194,time
195,lady
196,ladies
197,messed
198,lady
199,ladies
200,messed
