,There She Goes_Sixpence None the Richer
0,goes
1,goes
2,racing
3,brain
4,can't
5,contain
6,feeling
7,remains
8,goes
9,goes
10,pulsing
11,veins
12,can't
13,contain
14,feeling
15,remains
16,goes
17,goes
18,goes
19,goes
20,racing
21,brain
22,goes
23,can't
24,contain
25,feeling
26,remains
27,bridge
28,goes
29,goes
30,calls
31,name
32,pulls
33,train
34,one
35,else
36,could
37,heal
38,pain
39,can't
40,contain
41,feeling
42,remains
43,goes
44,calls
45,name
46,goes
47,calls
48,name
49,chasing
50,lane
51,calls
52,name
53,can't
54,contain
55,feeling
56,remains
57,goes
58,goes
59,goes
60,goes
61,goes
