,Love Me Again_John Newman
0,know
1,i've
2,done
3,wrong
4,left
5,heart
6,torn
7,devils
8,took
9,low
10,fools
11,go
12,shook
13,angel
14,prechorus
15,i'm
16,rising
17,ground
18,rising
19,filled
20,strength
21,found
22,there's
23,nothing
24,can’t
25,need
26,know
27,know
28,love
29,need
30,know
31,know
32,love
33,need
34,know
35,know
36,love
37,need
38,know
39,know
40,love
41,love
42,unforgivable
43,stole
44,burnt
45,soul
46,demons
47,rule
48,worst
49,destroy
50,everything
51,bring
52,angels
53,like
54,prechorus
55,i'm
56,rising
57,ground
58,rising
59,filled
60,strength
61,found
62,there's
63,nothing
64,can’t
65,need
66,know
67,know
68,love
69,need
70,know
71,know
72,love
73,love
74,love
75,told
76,can’t
77,oh
78,lord
79,told
80,can’t
81,oh
82,need
83,know
84,know
85,love
86,need
87,know
88,know
89,love
90,need
91,know
92,know
93,love
94,love
95,love
96,love
