,Endlessly_Muse
0,there's
1,part
2,me
3,you'll
4,never
5,know
6,thing
7,i'll
8,never
9,show
10,hopelessly
11,i'll
12,love
13,you
14,endlessly
15,hopelessly
16,i'll
17,give
18,you
19,everything
20,i
21,give
22,you
23,i
24,let
25,you
26,i
27,leave
28,you
29,falling
30,moment
31,ever
32,comes
33,plain
34,see
35,trying
36,speak
37,cherished
38,dreams
39,forever
40,asleep
41,hopelessly
42,i'll
43,love
44,you
45,endlessly
46,hopelessly
47,i'll
48,give
49,you
50,everything
51,i
52,give
53,you
54,i
55,let
56,you
57,i
58,leave
59,you
60,falling
61,moment
62,ever
63,comes
64,hopelessly
65,i'll
66,love
67,you
68,endlessly
69,hopelessly
70,i'll
71,give
72,you
73,everything
74,i
75,give
76,you
77,i
78,let
79,you
80,i
81,leave
82,you
83,falling
84,moment
85,never
86,comes
