,Kiss from a Rose_Seal
0,click
1,see
2,seal
3,explain
4,he
5,wrote
6,kiss
7,rose
8,bayaya
9,badadadadada
10,bayaya
11,bayaya
12,badadadadada
13,bayaya
14,bayaya
15,badadadadada
16,bayaya
17,bayaya
18,badadadadada
19,bayaya
20,used
21,graying
22,tower
23,alone
24,sea
25,you
26,became
27,light
28,dark
29,side
30,me
31,love
32,remained
33,drug
34,that's
35,high
36,pill
37,prechorus
38,you
39,know
40,snows
41,my
42,eyes
43,become
44,large
45,light
46,you
47,shine
48,can't
49,seen
50,baby
51,i
52,compare
53,you
54,kiss
55,rose
56,gray
57,ooh
58,i
59,get
60,you
61,stranger
62,feels
63,yeah
64,your
65,rose
66,bloom
67,light
68,hits
69,gloom
70,gray
71,bayaya
72,badadadadada
73,bayaya
74,bayaya
75,badadadadada
76,bayaya
77,much
78,man
79,tell
80,you
81,much
82,he
83,say
84,you
85,remain
86,my
87,power
88,my
89,pleasure
90,my
91,pain
92,baby
93,me
94,you're
95,like
96,growing
97,addiction
98,i
99,can't
100,deny
101,you
102,tell
103,me
104,healthy
105,baby
106,prechorus
107,you
108,know
109,snows
110,my
111,eyes
112,become
113,large
114,light
115,you
116,shine
117,can't
118,seen
119,baby
120,i
121,compare
122,you
123,kiss
124,rose
125,gray
126,ooh
127,i
128,get
129,you
130,stranger
131,feels
132,yeah
133,your
134,rose
135,bloom
136,light
137,hits
138,gloom
139,gray
140,i've
141,kissed
142,rose
143,gray
144,i
145,i've
146,kissed
147,rose
148,gray
149,i've
150,i
151,fall
152,along
153,way
154,kissed
155,rose
156,gray
157,i
158,i've
159,kissed
160,rose
161,gray
162,much
163,man
164,tell
165,you
166,much
167,he
168,say
169,you
170,remain
171,my
172,power
173,my
174,pleasure
175,my
176,pain
177,me
178,you're
179,like
180,growing
181,addiction
182,i
183,can't
184,deny
185,yeah
186,you
187,tell
188,me
189,healthy
190,baby
191,prechorus
192,you
193,know
194,snows
195,my
196,eyes
197,become
198,large
199,light
200,you
201,shine
202,can't
203,seen
204,baby
205,i
206,compare
207,you
208,kiss
209,rose
210,gray
211,ooh
212,i
213,get
214,you
215,stranger
216,feels
217,yeah
218,your
219,rose
220,bloom
221,light
222,hits
223,gloom
224,gray
225,yes
226,i
227,compare
228,you
229,kiss
230,rose
231,gray
232,ooh
233,i
234,get
235,you
236,stranger
237,feels
238,yeah
239,your
240,rose
241,bloom
242,light
243,hits
244,gloom
245,gray
246,bayaya
247,badadadadada
248,bayaya
249,your
250,rose
251,bloom
252,light
253,hits
254,gloom
255,gray
