,Criminal_Britney Spears
0,he
1,hustler
2,he's
3,good
4,he
5,loser
6,he's
7,bum
8,bum
9,bum
10,bum
11,he
12,lies
13,he
14,bluffs
15,he's
16,unreliable
17,he
18,sucker
19,gun
20,gun
21,gun
22,gun
23,i
24,know
25,you
26,told
27,me
28,i
29,stay
30,away
31,i
32,know
33,you
34,said
35,he's
36,dog
37,astray
38,he's
39,bad
40,boy
41,tainted
42,heart
43,even
44,i
45,know
46,ain't
47,smart
48,mama
49,i'm
50,love
51,criminal
52,type
53,love
54,rational
55,physical
56,mama
57,please
58,cry
59,i
60,alright
61,reason
62,aside
63,i
64,can't
65,deny
66,love
67,guy
68,he
69,villain
70,devil's
71,law
72,he
73,killer
74,fun
75,fun
76,fun
77,fun
78,man's
79,snitch
80,unpredictable
81,he's
82,got
83,conscience
84,he
85,got
86,none
87,none
88,none
89,none
90,oh
91,i
92,know
93,let
94,go
95,'cause
96,he's
97,bad
98,boy
99,tainted
100,heart
101,even
102,i
103,know
104,ain't
105,smart
106,mama
107,i'm
108,love
109,criminal
110,type
111,love
112,rational
113,physical
114,mama
115,please
116,cry
117,i
118,alright
119,reason
120,aside
121,i
122,can't
123,deny
124,love
125,guy
126,he's
127,got
128,my
129,name
130,tattooed
131,his
132,arm
133,his
134,lucky
135,charm
136,i
137,guess
138,okay
139,he's
140,me
141,i
142,hear
143,people
144,talk
145,people
146,talk
147,try
148,make
149,remarks
150,keep
151,us
152,apart
153,i
154,even
155,hear
156,i
157,care
158,'cause
159,mama
160,i'm
161,love
162,criminal
163,type
164,love
165,rational
166,physical
167,mama
168,please
169,cry
170,i
171,alright
172,reason
173,aside
174,i
175,can't
176,deny
177,love
178,guy
179,oh
180,i
181,know
182,oh
183,mama
184,i'm
185,love
186,criminal
187,let
188,go
189,type
190,love
191,rational
192,physical
193,oh
194,i
195,know
196,oh
197,mama
198,please
199,cry
200,i
201,alright
202,let
203,go
204,reason
205,aside
206,i
207,can't
208,deny
209,love
210,guy
