,The Blue Channel_Taking Back Sunday
0,i'm
1,sure
2,i'm
3,sure
4,anything
5,anymore
6,well
7,last
8,night
9,keeping
10,secrets
11,hit
12,lights
13,leave
14,know
15,million
16,things
17,say
18,"""sorry"""
19,might
20,found
21,way
22,somehow
23,someway
24,worry
25,sweetie
26,cause
27,already
28,know
29,i'm
30,sure
31,i'm
32,sure
33,anything
34,anymore
35,well
36,last
37,night
38,keeping
39,secrets
40,guilty
41,disgusting
42,he's
43,sneakin'
44,underneath
45,sheets
46,hands
47,places
48,probably
49,go
50,worry
51,sweetie
52,cause
53,already
54,know
55,bridge
56,regardless
57,pictures
58,well
59,line
60,mirror
61,regardless
62,know
63,i'll
64,still
65,wait
66,call
67,regardless
68,pictures
69,well
70,line
71,mirror
72,regardless
73,know
74,i'll
75,still
76,wait
77,call
78,last
79,time
80,see
81,know
82,girl's
