,More Than Words_Extreme
0,gary
1,cherone
2,saying
3,"""i"
4,love
5,"you"""
6,words
7,want
8,hear
9,want
10,say
11,knew
12,easy
13,would
14,show
15,feel
16,words
17,make
18,real
19,say
20,love
21,'cause
22,i'd
23,already
24,know
25,would
26,heart
27,torn
28,two
29,words
30,show
31,feel
32,love
33,real
34,would
35,say
36,took
37,words
38,away
39,make
40,things
41,new
42,saying
43,"""i"
44,love
45,"you"""
46,da-de-da-la-de-da
47,la-de-dei-dei-dei
48,words
49,da-de-da-la-de-da
50,gary
51,cherone
52,i've
53,tried
54,talk
55,make
56,understand
57,close
58,eyes
59,reach
60,hands
61,touch
62,hold
63,close
64,ever
65,let
66,go
67,words
68,ever
69,needed
70,show
71,say
72,love
73,'cause
74,i'd
75,already
76,know
77,would
78,heart
79,torn
80,two
81,words
82,show
83,feel
84,love
85,real
86,would
87,say
88,took
89,words
90,away
91,make
92,things
93,new
94,saying
95,"""i"
96,love
97,"you"""
98,da-de-da-la-de-da
99,la-de-dei-dei-dei
100,words
101,da-de-da-la-de-da
102,la-de-dei-dei-dei
103,words
104,la-de-dei-dei-dei
105,la-de-dei-dei-dei
106,la-de-dei-dei-dei
107,words
108,words
109,outro
110,words
