,Perfect_Ed Sheeran
0,i
1,found
2,love
3,me
4,oh
5,darling
6,dive
7,right
8,follow
9,my
10,lead
11,well
12,i
13,found
14,girl
15,beautiful
16,sweet
17,oh
18,i
19,never
20,knew
21,you
22,someone
23,waiting
24,me
25,'cause
26,kids
27,fell
28,love
29,knowing
30,i
31,give
32,you
33,time
34,darling
35,kiss
36,me
37,slow
38,your
39,heart
40,i
41,your
42,eyes
43,you're
44,holding
45,mine
46,baby
47,i'm
48,dancing
49,dark
50,you
51,my
52,arms
53,barefoot
54,grass
55,listening
56,favourite
57,song
58,you
59,said
60,you
61,looked
62,mess
63,i
64,whispered
65,underneath
66,my
67,breath
68,you
69,heard
70,darling
71,you
72,look
73,perfect
74,tonight
75,well
76,i
77,found
78,woman
79,stronger
80,anyone
81,i
82,know
83,she
84,shares
85,my
86,dreams
87,i
88,hope
89,someday
90,i'll
91,share
92,her
93,home
94,i
95,found
96,love
97,carry
98,my
99,secrets
100,carry
101,love
102,carry
103,children
104,still
105,kids
106,we're
107,love
108,fighting
109,against
110,odds
111,i
112,know
113,we'll
114,alright
115,time
116,darling
117,hold
118,my
119,hand
120,my
121,girl
122,i'll
123,your
124,man
125,i
126,see
127,my
128,future
129,your
130,eyes
131,baby
132,i'm
133,dancing
134,dark
135,you
136,my
137,arms
138,barefoot
139,grass
140,listening
141,favorite
142,song
143,i
144,saw
145,you
146,dress
147,looking
148,beautiful
149,i
150,deserve
151,darling
152,you
153,look
154,perfect
155,tonight
156,instrumental
157,baby
158,i'm
159,dancing
160,dark
161,you
162,my
163,arms
164,barefoot
165,grass
166,listening
167,favorite
168,song
169,i
170,faith
171,i
172,see
173,i
174,know
175,i
176,met
177,angel
178,person
179,she
180,looks
181,perfect
182,i
183,deserve
184,you
185,look
186,perfect
187,tonight
