,So Real_Jeff Buckley
0,love
1,let
2,me
3,sleep
4,tonight
5,your
6,couch
7,remember
8,smell
9,fabric
10,your
11,simple
12,city
13,dress
14,oh
15,real
16,oh
17,real
18,oh
19,real
20,walked
21,around
22,til
23,moon
24,got
25,full
26,like
27,plate
28,wind
29,blew
30,invocation
31,i
32,fell
33,asleep
34,gate
35,i
36,never
37,stepped
38,cracks
39,cause
40,i
41,thought
42,i'd
43,hurt
44,my
45,mother
46,i
47,awake
48,nightmare
49,sucked
50,me
51,pulled
52,me
53,pulled
54,me
55,oh
56,real
57,oh
58,real
59,oh
60,real
61,solo
62,i
63,love
64,you
65,i'm
66,afraid
67,love
68,you
69,i
70,love
71,you
72,i'm
73,afraid
74,love
75,you
76,i'm
77,afraid
78,oh
79,real
80,oh
81,real
82,oh
83,real
84,oh
85,real
86,oh
87,real
88,ohh
89,oh
90,real
91,real
92,real
93,oh
94,real
95,oh
96,real
97,oh
98,yeah
99,oh
100,real
