,Save Me_Aimee Mann
0,look
1,like
2,perfect
3,fit
4,girl
5,need
6,tourniquet
7,save
8,come
9,save
10,could
11,save
12,ranks
13,freaks
14,suspect
15,could
16,never
17,love
18,anyone
19,'cause
20,tell
21,know
22,like
23,long
24,farewell
25,hunger
26,strike
27,save
28,come
29,save
30,could
31,save
32,ranks
33,freaks
34,suspect
35,could
36,never
37,love
38,anyone
39,bridge
40,struck
41,dumb
42,like
43,radium
44,like
45,peter
46,pan
47,superman
48,come
49,save
50,c'mon
51,save
52,could
53,save
54,ranks
55,freaks
56,suspect
57,could
58,never
59,love
60,anyone
61,'cept
62,freaks
63,suspect
64,could
65,never
66,love
67,anyone
68,freaks
69,suspect
70,could
71,never
72,love
73,anyone
74,c'mon
75,save
76,save
77,could
78,save
79,ranks
80,freaks
81,suspect
82,could
83,never
84,love
85,anyone
86,except
87,freaks
88,suspect
89,could
90,never
91,love
92,anyone
93,except
94,freaks
95,could
96,never
97,love
98,anyone
