,Stuck on You_Lionel Richie
0,stuck
1,i've
2,got
3,feeling
4,deep
5,soul
6,can't
7,lose
8,guess
9,i'm
10,way
11,needed
12,friend
13,way
14,feel
15,guess
16,i'll
17,'til
18,end
19,guess
20,i'm
21,way
22,mighty
23,glad
24,stayed
25,i'm
26,stuck
27,fool
28,long
29,guess
30,time
31,come
32,home
33,guess
34,i'm
35,way
36,hard
37,see
38,woman
39,like
40,could
41,wait
42,around
43,man
44,like
45,guess
46,i'm
47,way
48,mighty
49,glad
50,stayed
51,bridge
52,oh
53,i'm
54,leaving
55,midnight
56,train
57,tomorrow
58,know
59,i'm
60,going
61,i've
62,packed
63,troubles
64,i've
65,thrown
66,away
67,'cause
68,time
69,little
70,darling
71,i'm
72,coming
73,home
74,stay
75,i'm
76,stuck
77,i've
78,got
79,feeling
80,deep
81,soul
82,can't
83,lose
84,guess
85,i'm
86,way
87,needed
88,friend
89,way
90,feel
91,guess
92,i'll
93,'til
94,end
95,guess
96,i'm
97,way
98,i'm
99,mighty
100,glad
101,stayed
