,Recess_Muse
0,resuscitate
1,my
2,sleep
3,awake
4,see
5,you're
6,never
7,losing
8,yields
9,another
10,year
11,face
12,your
13,hopes
14,fears
15,i
16,wish
17,i
18,could
19,believe
20,hope
21,suffocating
22,you've
23,missed
24,my
25,life
26,planes
27,trains
28,blame
29,tempting
30,us
31,refrain
32,cut
33,cord
34,dis
35,every
36,word
37,truths
38,absurd
39,i
40,wish
41,i
42,could
43,believe
44,hope
45,suffocating
46,you've
47,kissed
48,my
49,life
50,i
51,wish
52,i
53,could
54,believe
55,hope
56,suffocating
57,hope
58,suffocating
59,hope
60,suffocating
61,you've
62,missed
63,my
64,life
