,City_Sara Bareilles
0,there's
1,harvest
2,saturday
3,night
4,bars
5,filled
6,perfume
7,hitching
8,ride
9,place
10,you
11,stand
12,one
13,night
14,get
15,gone
16,clear
17,conversation
18,ain't
19,thing
20,boys
21,listen
22,me
23,i
24,sing
25,i
26,feel
27,like
28,singing
29,tonight
30,songs
31,deep
32,city
33,lights
34,girl
35,could
36,get
37,lost
38,tonight
39,i'm
40,finding
41,every
42,reason
43,gone
44,nothing
45,hold
46,could
47,i
48,hold
49,you
50,situation's
51,always
52,you
53,got
54,your
55,wolves
56,clothes
57,whispering
58,hollywood's
59,name
60,stealing
61,gold
62,silver
63,see
64,me
65,deep
66,city
67,lights
68,girl
69,could
70,get
71,lost
72,tonight
73,i'm
74,finding
75,every
76,reason
77,gone
78,nothing
79,hold
80,could
81,i
82,hold
83,you
84,calling
85,somebody
86,save
87,me
88,i
89,feel
90,like
91,i'm
92,fading
93,away
94,i
95,gone
96,calling
97,somebody
98,save
99,me
100,i
101,feel
102,like
103,i'm
104,fading
105,deep
106,city
107,lights
108,girl
109,could
110,get
111,lost
112,tonight
113,i'm
114,finding
115,every
116,reason
117,gone
118,nothing
119,hold
120,could
121,i
122,hold
123,you
