,Girl_The Beatles
0,john
1,lennon
2,anybody
3,going
4,listen
5,my
6,story
7,girl
8,came
9,stay
10,kind
11,girl
12,you
13,want
14,much
15,makes
16,you
17,sorry
18,still
19,you
20,regret
21,single
22,day
23,john
24,lennon
25,ah
26,girl
27,girl
28,girl
29,john
30,lennon
31,i
32,think
33,times
34,i've
35,tried
36,hard
37,leave
38,her
39,she
40,turn
41,me
42,start
43,cry
44,she
45,promises
46,earth
47,me
48,i
49,believe
50,her
51,time
52,i
53,know
54,john
55,lennon
56,ah
57,girl
58,girl
59,girl
60,john
61,lennon
62,paul
63,mccartney
64,george
65,harrison
66,kind
67,girl
68,puts
69,you
70,tit
71,tit
72,tit
73,tit
74,tit
75,tit
76,tit
77,tit
78,friends
79,you
80,feel
81,fool
82,tit
83,tit
84,tit
85,tit
86,tit
87,tit
88,tit
89,tit
90,tit
91,tit
92,tit
93,tit
94,tit
95,tit
96,tit
97,tit
98,tit
99,tit
100,tit
101,tit
102,tit
103,tit
104,tit
105,tit
106,you
107,say
108,looking
109,good
110,tit
111,tit
112,tit
113,tit
114,tit
115,tit
116,tit
117,tit
118,she
119,acts
120,understood
121,tit
122,tit
123,tit
124,tit
125,tit
126,tit
127,tit
128,tit
129,cool
130,ooh
131,ooh
132,ooh
133,tit
134,tit
135,tit
136,tit
137,tit
138,tit
139,tit
140,tit
141,tit
142,tit
143,tit
144,tit
145,tit
146,tit
147,tit
148,tit
149,john
150,lennon
151,girl
152,girl
153,girl
154,john
155,lennon
156,she
157,told
158,she
159,young
160,pain
161,would
162,lead
163,pleasure
164,she
165,understand
166,said
167,man
168,must
169,break
170,his
171,back
172,earn
173,his
174,day
175,leisure
176,she
177,still
178,believe
179,he's
180,dead
181,john
182,lennon
183,ah
184,girl
185,girl
186,girl
187,john
188,lennon
189,ah
190,girl
191,girl
