,You've Got to Hide Your Love Away_The Beatles
0,stand
1,head
2,hand
3,turn
4,face
5,wall
6,gone
7,can't
8,go
9,feeling
10,twofoot
11,small
12,everywhere
13,people
14,stare
15,every
16,day
17,see
18,laugh
19,hear
20,say
21,hey
22,got
23,hide
24,love
25,away
26,hey
27,got
28,hide
29,love
30,away
31,even
32,try
33,never
34,win
35,hearing
36,seeing
37,state
38,i'm
39,could
40,say
41,love
42,find
43,way
44,gather
45,round
46,clowns
47,let
48,hear
49,say
50,hey
51,got
52,hide
53,love
54,away
55,hey
56,got
57,hide
58,love
59,away
