,Daughters_John Mayer
0,i
1,know
2,girl
3,she
4,puts
5,color
6,inside
7,my
8,world
9,like
10,maze
11,walls
12,continually
13,change
14,i've
15,done
16,i
17,stand
18,steps
19,my
20,heart
21,my
22,hand
23,i'm
24,starting
25,see
26,maybe
27,got
28,nothing
29,me
30,fathers
31,good
32,your
33,daughters
34,daughters
35,love
36,like
37,you
38,girls
39,become
40,lovers
41,turn
42,mothers
43,mothers
44,good
45,your
46,daughters
47,oh
48,you
49,see
50,skin
51,standing
52,since
53,day
54,she
55,saw
56,him
57,walking
58,away
59,left
60,cleaning
61,mess
62,he
63,made
64,fathers
65,good
66,your
67,daughters
68,daughters
69,love
70,like
71,you
72,girls
73,become
74,lovers
75,turn
76,mothers
77,mothers
78,good
79,your
80,daughters
81,boys
82,you
83,break
84,you
85,find
86,much
87,take
88,boys
89,strong
90,boys
91,soldier
92,boys
93,would
94,gone
95,without
96,warmth
97,woman's
98,good
99,good
100,heart
101,behalf
102,every
103,man
104,looking
105,every
106,girl
107,you
108,god
109,weight
110,her
111,world
112,fathers
113,good
114,your
115,daughters
116,daughters
117,love
118,like
119,you
120,girls
121,become
122,lovers
123,turn
124,mothers
125,mothers
126,good
127,your
128,daughters
129,mothers
130,good
131,your
132,daughters
133,mothers
134,good
135,your
136,daughters
