,Treat Her Better_Mac DeMarco
0,hey
1,man
2,heard
3,you
4,your
5,brother's
6,keeper
7,can't
8,judgin'
9,way
10,you
11,treat
12,her
13,prechorus
14,oh
15,you've
16,done
17,use
18,you
19,already
20,know
21,ends
22,treat
23,her
24,better
25,boy
26,havin'
27,her
28,your
29,side's
30,something
31,you
32,enjoy
33,havin'
34,her
35,your
36,life's
37,really
38,important
39,you
40,hey
41,man
42,who's
43,keepin'
44,brother
45,hey
46,man
47,old
48,your
49,mother
50,prechorus
51,oh
52,you've
53,done
54,use
55,you
56,already
57,know
58,ends
59,treat
60,her
61,better
62,boy
63,havin'
64,her
65,your
66,side's
67,something
68,you
69,enjoy
70,havin'
71,her
72,your
73,life's
74,really
75,important
76,you
77,treat
78,her
79,better
80,boy
81,havin'
82,her
83,your
84,side's
85,something
86,you
87,enjoy
88,havin'
89,her
90,your
91,life's
92,really
93,important
94,you
95,treat
96,her
97,better
98,boy
99,havin'
100,her
101,your
102,side's
103,something
104,you
105,enjoy
106,havin'
107,her
108,your
109,life's
110,really
111,important
112,you
113,treat
114,her
115,better
116,boy
117,havin'
118,her
119,your
120,side's
121,something
122,you
123,enjoy
124,havin'
125,her
126,your
127,life's
128,really
129,important
130,you
131,treat
132,her
133,better
134,boy
135,havin'
136,her
137,your
138,side's
139,something
140,you
141,enjoy
142,havin'
143,her
144,your
145,life's
146,really
147,important
148,you
