,Miss You Love_Silverchair
0,millionaire
1,say
2,got
3,big
4,shot
5,deal
6,i’ve
7,thrown
8,away
9,i'm
10,sure
11,i'm
12,supposed
13,feel
14,i'm
15,supposed
16,say
17,i'm
18,sure
19,sure
20,feels
21,handle
22,everyday
23,refrain
24,i
25,miss
26,you
27,love
28,make
29,room
30,prey
31,'cause
32,i'm
33,coming
34,i
35,want
36,say
37,gonna
38,hurt
39,i
40,love
41,pain
42,breeding
43,ground
44,hate
45,prechorus
46,i'm
47,sure
48,sure
49,feels
50,handle
51,every
52,day
53,like
54,one
55,passed
56,crowds
57,people
58,interlude
59,remember
60,today
61,i've
62,respect
63,you
64,refrain
65,i
66,miss
67,you
68,love
69,i
70,miss
71,you
72,love
73,i
74,love
75,way
76,you
77,love
78,i
79,hate
80,way
81,i'm
82,supposed
83,love
84,you
85,back
86,fad
87,part
88,teen
89,teenage
90,angst
91,brigade
92,i'm
93,sure
94,sure
95,feels
96,handle
97,every
98,day
99,like
100,one
101,passed
102,crowds
103,people
104,interlude
105,remember
106,today
107,i've
108,respect
109,you
110,refrain
111,i
112,miss
113,you
114,love
115,i
116,miss
117,you
118,love
119,interlude
120,remember
121,today
122,i've
123,respect
124,you
125,refrain
126,i
127,miss
128,you
129,love
130,i
131,miss
132,you
133,i
134,love
135,way
136,you
137,love
138,i
139,hate
140,way
141,i'm
142,supposed
143,love
144,you
145,back
