,Somebody to Love_Queen
0,anybody
1,find
2,me
3,somebody
4,love
5,ooh
6,morning
7,i
8,get
9,i
10,die
11,little
12,barely
13,stand
14,my
15,feet
16,take
17,look
18,yourself
19,mirror
20,cry
21,take
22,look
23,mirror
24,cry
25,lord
26,you're
27,me
28,yeah
29,yeah
30,i
31,spent
32,my
33,years
34,believing
35,you
36,i
37,can't
38,get
39,relief
40,lord
41,somebody
42,somebody
43,ooh
44,somebody
45,somebody
46,anybody
47,find
48,me
49,somebody
50,love
51,yeah
52,i
53,work
54,hard
55,he
56,works
57,hard
58,every
59,day
60,my
61,life
62,i
63,work
64,'til
65,i
66,ache
67,my
68,bones
69,end
70,end
71,day
72,i
73,take
74,home
75,my
76,hardearned
77,pay
78,my
79,goes
80,home
81,goes
82,home
83,his
84,i
85,get
86,my
87,knees
88,knees
89,i
90,start
91,pray
92,praise
93,lord
94,'til
95,tears
96,run
97,my
98,eyes
99,lord
100,somebody
101,somebody
102,ooh
103,somebody
104,please
105,anybody
106,find
107,me
108,somebody
109,love
110,oh
111,he
112,works
113,hard
114,everyday
115,everyday
116,i
117,try
118,i
119,try
120,i
121,try
122,everybody
123,wants
124,put
125,me
126,say
127,i'm
128,goin'
129,crazy
130,say
131,i
132,got
133,lot
134,water
135,my
136,brain
137,i
138,got
139,common
140,sense
141,he's
142,got
143,i
144,got
145,nobody
146,left
147,believe
148,guitar
149,solo
150,oh
151,lord
152,ooh
153,somebody
154,ooh
155,somebody
156,anybody
157,find
158,me
159,somebody
160,love
161,anybody
162,find
163,me
164,someone
165,love
166,got
167,feel
168,i
169,got
170,rhythm
171,i
172,keep
173,losing
174,my
175,beat
176,you
177,keep
178,losing
179,losing
180,i'm
181,okay
182,i'm
183,alright
184,he's
185,alright
186,he's
187,alright
188,i
189,ain't
190,gonna
191,face
192,defeat
193,yeah
194,yeah
195,i
196,gotta
197,get
198,prison
199,cell
200,one
201,day
202,someday
203,i'm
204,gonna
205,free
206,lord
207,find
208,me
209,somebody
210,love
211,find
212,me
213,somebody
214,love
215,find
216,me
217,somebody
218,love
219,find
220,me
221,somebody
222,love
223,find
224,me
225,somebody
226,love
227,find
228,me
229,somebody
230,love
231,find
232,me
233,somebody
234,love
235,find
236,me
237,somebody
238,love
239,find
240,me
241,somebody
242,love
243,find
244,me
245,somebody
246,love
247,somebody
248,somebody
249,somebody
250,somebody
251,somebody
252,find
253,me
254,somebody
255,find
256,me
257,somebody
258,love
259,anybody
260,find
261,me
262,somebody
263,love
264,find
265,me
266,somebody
267,love
268,ooh
269,find
270,me
271,somebody
272,love
273,find
274,me
275,somebody
276,find
277,me
278,somebody
279,love
280,somebody
281,somebody
282,somebody
283,love
284,find
285,me
286,somebody
287,love
288,find
289,me
290,find
291,me
292,find
293,me
294,find
295,me
296,find
297,me
298,find
299,me
300,somebody
301,love
302,ooh
303,somebody
304,love
305,find
306,me
307,somebody
308,love
309,ooh
310,find
311,me
312,find
313,me
314,find
315,me
316,somebody
317,love
318,find
319,me
320,somebody
321,love
322,anybody
323,anywhere
324,anybody
325,find
326,me
327,somebody
328,love
329,love
330,find
331,me
332,find
333,me
334,find
335,me
