,Yoshimi Battles the Pink Robots Pt. 1_The Flaming Lips
0,her
1,name
2,yoshimi
3,black
4,belt
5,karate
6,working
7,city
8,she
9,discipline
10,her
11,body
12,prehook
13,cause
14,she
15,knows
16,demanding
17,defeat
18,evil
19,machines
20,i
21,know
22,she
23,beat
24,oh
25,yoshimi
26,believe
27,me
28,you
29,let
30,robots
31,eat
32,me
33,yoshimi
34,believe
35,me
36,you
37,let
38,robots
39,defeat
40,me
41,evilnatured
42,robots
43,they're
44,programmed
45,destroy
46,us
47,gotta
48,strong
49,fight
50,taking
51,lots
52,vitamins
53,prehook
54,cause
55,she
56,knows
57,it'd
58,tragic
59,evil
60,robots
61,win
62,i
63,know
64,she
65,beat
66,oh
67,yoshimi
68,believe
69,me
70,you
71,let
72,robots
73,defeat
74,me
75,yoshimi
76,believe
77,me
78,you
79,let
80,robots
81,eat
82,me
83,break
84,yoshimi
85,prehook
86,cause
87,she
88,knows
89,it'd
90,tragic
91,evil
92,robots
93,win
94,i
95,know
96,she
97,beat
98,oh
99,yoshimi
100,believe
101,me
102,you
103,let
104,robots
105,defeat
106,me
107,yoshimi
108,believe
109,me
110,you
111,let
112,robots
113,defeat
114,me
115,oh
116,yoshimi
117,believe
118,me
119,you
120,let
121,robots
122,eat
123,me
124,yoshimi
125,believe
126,me
127,you
128,let
129,robots
130,eat
131,me
132,yoshimi
