,Firestone_Kygo
0,conrad
1,sewell
2,i'm
3,flame
4,you're
5,fire
6,i'm
7,dark
8,need
9,light
10,touch
11,you
12,inspire
13,feel
14,changin'
15,me
16,tonight
17,take
18,me
19,take
20,me
21,higher
22,there's
23,world
24,far
25,dance
26,desire
27,burn
28,love
29,tonight
30,conrad
31,sewell
32,hearts
33,like
34,firestones
35,strike
36,feel
37,love
38,sparks
39,fly
40,ignite
41,bones
42,strike
43,light
44,world
45,conrad
46,sewell
47,hearts
48,like
49,firestones
50,strike
51,feel
52,love
53,sparks
54,fly
55,ignite
56,bones
57,strike
58,light
59,world
60,light
61,world
62,drop
63,conrad
64,sewell
65,light
66,world
67,whoa
68,oh
69,world
70,whoa
71,oh
72,firestone
73,conrad
74,sewell
75,i'm
76,x
77,you're
78,perfect
79,strangers
80,night
81,come
82,together
83,world
84,we'll
85,testify
86,conrad
87,sewell
88,hearts
89,like
90,firestones
91,strike
92,feel
93,love
94,sparks
95,fly
96,ignite
97,bones
98,strike
99,light
100,world
101,conrad
102,sewell
103,hearts
104,like
105,firestones
106,strike
107,feel
108,love
109,sparks
110,fly
111,ignite
112,bones
113,strike
114,light
115,world
116,drop
117,conrad
118,sewell
119,light
120,world
121,light
122,word
123,whoa
124,oh
125,world
126,whoa
127,oh
128,firestone
