,Spending My Time_Roxette
0,what's
1,time
2,seems
3,already
4,morning
5,see
6,sky
7,beautiful
8,blue
9,tv's
10,thing
11,showing
12,picture
13,oh
14,get
15,make
16,coffee
17,try
18,read
19,bit
20,story
21,thin
22,thank
23,lord
24,see
25,shape
26,i'm
27,spending
28,time
29,watching
30,days
31,go
32,feeling
33,small
34,stare
35,wall
36,hoping
37,think
38,i'm
39,spending
40,time
41,try
42,call
43,know
44,tell
45,leave
46,kiss
47,answering
48,machine
49,oh
50,help
51,please
52,someone
53,make
54,wake
55,dream
56,spending
57,time
58,watching
59,days
60,go
61,feeling
62,small
63,stare
64,wall
65,hoping
66,missing
67,i'm
68,spending
69,time
70,watching
71,sun
72,go
73,fall
74,asleep
75,sound
76,"""tears"
77,"clown"""
78,prayer
79,gone
80,blind
81,i'm
82,spending
83,time
84,bridge
85,friends
86,keep
87,telling
88,"""hey"
89,life
90,go
91,"on"""
92,time
93,make
94,sure
95,i'll
96,get
97,ooh
98,silly
99,game
100,love
101,-
102,play
103,win
104,lose
105,i'm
106,spending
107,time
108,watching
109,days
110,go
111,feeling
112,small
113,stare
114,wall
115,hoping
116,think
117,i'm
118,spending
119,time
120,watching
121,sun
122,go
123,fall
124,asleep
125,sound
126,"""tears"
127,"clown"""
128,prayer
129,gone
130,blind
131,i'm
132,spending
133,time
134,outro
135,spending
136,time
137,can't
138,live
139,without
140,love
141,spending
142,time
143,i'm
144,spending
145,time
146,time
147,time
148,bed
149,big
150,without
151,honey
152,honey
153,spending
154,time
