,Lovesong_The Cure
0,whenever
1,i'm
2,alone
3,you
4,you
5,make
6,me
7,feel
8,like
9,i
10,home
11,whenever
12,i'm
13,alone
14,you
15,you
16,make
17,me
18,feel
19,like
20,i
21,whole
22,whenever
23,i'm
24,alone
25,you
26,you
27,make
28,me
29,feel
30,like
31,i
32,young
33,whenever
34,i'm
35,alone
36,you
37,you
38,make
39,me
40,feel
41,like
42,i
43,fun
44,however
45,far
46,away
47,i
48,always
49,love
50,you
51,however
52,long
53,i
54,stay
55,i
56,always
57,love
58,you
59,whatever
60,words
61,i
62,say
63,i
64,always
65,love
66,you
67,i
68,always
69,love
70,you
71,fly
72,me
73,moon
74,whenever
75,i'm
76,alone
77,you
78,you
79,make
80,me
81,feel
82,like
83,i
84,free
85,whenever
86,i'm
87,alone
88,you
89,you
90,make
91,me
92,feel
93,like
94,i
95,clean
96,however
97,far
98,away
99,i
100,always
101,love
102,you
103,however
104,long
105,i
106,stay
107,i
108,always
109,love
110,you
111,whatever
112,words
113,i
114,say
115,i
116,always
117,love
118,you
119,i
120,always
121,love
122,you
