,Slow Dancing in a Burning Room_John Mayer
0,silly
1,little
2,moment
3,storm
4,calm
5,deep
6,dying
7,breath
8,love
9,we've
10,working
11,can't
12,seem
13,hold
14,you
15,like
16,i
17,want
18,i
19,feel
20,you
21,my
22,arms
23,nobody's
24,going
25,come
26,save
27,you
28,pulled
29,many
30,false
31,alarms
32,we're
33,going
34,you
35,see
36,we're
37,going
38,you
39,know
40,we're
41,doomed
42,my
43,dear
44,we're
45,slow
46,dancing
47,burning
48,room
49,i
50,one
51,you
52,always
53,dreamed
54,you
55,one
56,i
57,tried
58,draw
59,dare
60,you
61,say
62,nothing
63,me
64,baby
65,you're
66,light
67,i
68,ever
69,saw
70,i'll
71,make
72,sadness
73,you'll
74,bitch
75,you
76,you
77,try
78,hit
79,me
80,hurt
81,me
82,you
83,leave
84,me
85,feeling
86,dirty
87,'cause
88,you
89,can't
90,understand
91,we're
92,going
93,you
94,see
95,we're
96,going
97,you
98,know
99,we're
100,doomed
101,my
102,dear
103,we're
104,slow
105,dancing
106,burning
107,room
108,go
109,cry
110,you
111,go
112,cry
113,you
114,go
115,cry
116,you
117,my
118,dear
119,we're
120,slow
121,dancing
122,burning
123,room
124,burning
125,room
126,burning
127,room
128,burning
129,room
130,burning
131,room
132,you
133,think
134,ought
135,know
136,you
137,think
138,learned
139,somehow
140,you
141,think
142,ought
143,know
144,you
145,think
146,learned
147,somehow
148,you
149,think
150,ought
151,know
152,you
153,think
154,learned
155,somehow
