,My Sweet Prince_Placebo
0,never
1,thought
2,you'd
3,make
4,me
5,perspire
6,never
7,thought
8,i'd
9,you
10,never
11,thought
12,i'd
13,fill
14,desire
15,never
16,thought
17,i'd
18,feel
19,ashamed
20,me
21,dragon
22,chase
23,pain
24,away
25,i
26,end
27,my
28,day
29,remember
30,my
31,sweet
32,prince
33,you
34,one
35,my
36,sweet
37,prince
38,you
39,one
40,never
41,thought
42,i'd
43,retire
44,never
45,thought
46,i'd
47,abstain
48,never
49,thought
50,could
51,backfire
52,close
53,hole
54,my
55,vein
56,me
57,my
58,valuable
59,friend
60,fix
61,pain
62,away
63,i
64,end
65,my
66,day
67,remember
68,my
69,sweet
70,prince
71,you
72,one
73,my
74,sweet
75,prince
76,you
77,one
78,you
79,one
80,x4
81,never
82,thought
83,i'd
84,get
85,higher
86,never
87,thought
88,you'd
89,fuck
90,my
91,brain
92,never
93,thought
94,could
95,expire
96,never
97,thought
98,you'd
99,go
100,break
101,chain
102,me
103,you
104,baby
105,used
106,flush
107,pain
108,away
109,i
110,end
111,my
112,day
113,remember
114,my
115,sweet
116,prince
117,you
118,one
119,my
120,sweet
121,prince
122,you
123,one
124,you
125,one
126,x8
127,my
128,sweet
129,prince
130,my
131,sweet
132,prince
