,Cherokee_Cat Power
0,way
1,way
2,way
3,way
4,way
5,never
6,knew
7,love
8,like
9,wind
10,moon
11,earth
12,sky
13,sky
14,high
15,never
16,knew
17,pain
18,like
19,everything
20,die
21,die
22,never
23,knew
24,love
25,like
26,sun
27,sea
28,never
29,knew
30,pain
31,never
32,knew
33,shame
34,know
35,hook
36,bury
37,marry
38,sky
39,bury
40,marry
41,sky
42,bury
43,marry
44,sky
45,bury
46,marry
47,sky
48,die
49,time
50,bury
51,upside
52,cherokee
53,kissing
54,i’m
55,way
56,die
57,time
58,bury
59,upside
60,cherokee
61,kissing
62,i’m
63,i'm
64,going
65,never
66,knew
67,love
68,like
69,wind
70,moon
71,earth
72,sky
73,sky
74,high
75,never
76,knew
77,pain
78,like
79,everything
80,dies
81,die
82,never
83,knew
84,love
85,like
86,sun
87,sea
88,never
89,knew
90,pain
91,never
92,knew
93,shame
94,know
95,hook
96,bury
97,marry
98,sky
99,bury
100,marry
101,sky
102,bury
103,marry
104,sky
105,extro
106,feels
107,like
108,time
109,side
110,bury
111,upside
112,cherokee
113,kissing
114,i’m
115,i’m
116,going
