,Us_Regina Spektor
0,made
1,statue
2,us
3,put
4,mountaintop
5,tourists
6,come
7,stare
8,us
9,blow
10,bubbles
11,gum
12,take
13,photographs
14,fun
15,fun
16,they'll
17,name
18,city
19,us
20,later
21,say
22,fault
23,they'll
24,give
25,us
26,talking
27,they'll
28,give
29,us
30,talking
31,'cause
32,they've
33,got
34,years
35,experience
36,living
37,den
38,thieves
39,rummaging
40,answers
41,pages
42,living
43,den
44,thieves
45,contagious
46,contagious
47,contagious
48,contagious
49,wear
50,scarves
51,like
52,noose
53,'cause
54,want
55,eternal
56,sleep
57,though
58,parts
59,slightly
60,used
61,new
62,ones
63,slave
64,labor
65,keep
66,living
67,den
68,thieves
69,rummaging
70,answers
71,pages
72,living
73,den
74,thieves
75,contagious
76,contagious
77,contagious
78,contagious
79,made
80,statue
81,us
82,made
83,statue
84,us
85,tourists
86,come
87,stare
88,us
89,sculptor's
90,marble
91,sends
92,regards
93,made
94,statue
95,us
96,made
97,statue
98,us
99,noses
100,begun
101,rust
102,living
103,den
104,thieves
105,rummaging
106,answers
107,pages
108,living
109,den
110,thieves
111,contagious
112,contagious
113,contagious
114,contagious
115,contagious
116,oh
117,contagious
118,oh
119,contagious
120,oh
121,contagious
122,oh
