,Drunk on Love_Rihanna
0,yeah
1,yeah
2,yeah
3,yeah
4,feel
5,like
6,i’m
7,hopeless
8,romantic
9,can’t
10,help
11,falling
12,love
13,fiend
14,love
15,want
16,crave
17,can’t
18,get
19,enough
20,pre-chorus
21,take
22,away
23,wear
24,heart
25,sleeve
26,always
27,let
28,love
29,take
30,lead
31,may
32,little
33,naive
34,yeah
35,know
36,i’m
37,drunk
38,love
39,drunk
40,love
41,nothing
42,sober
43,it’s
44,need
45,yeah
46,yeah
47,yeah
48,yeah
49,i've
50,let
51,never
52,tainted
53,stay
54,thirsty
55,hold
56,back
57,drop
58,wasted
59,i'll
60,let
61,love
62,run
63,course
64,pre-chorus
65,take
66,away
67,wear
68,heart
69,sleeve
70,always
71,let
72,love
73,take
74,lead
75,may
76,little
77,naive
78,yeah
79,know
80,i’m
81,drunk
82,love
83,drunk
84,love
85,nothing
86,sober
87,know
88,i’m
89,drunk
90,love
91,drunk
92,drunk
93,love
94,nothing
95,sober
96,it’s
97,need
98,bridge
99,i'm
100,intoxicated
101,love
102,way
103,taste
104,lips
105,kiss
106,got
107,addicted
108,much
109,can't
110,resist
111,falling
112,arms
113,pre-chorus
114,take
115,away
116,wear
117,heart
118,sleeve
119,always
120,let
121,love
122,take
123,lead
124,may
125,little
126,naive
127,yeah
128,know
129,i’m
130,drunk
131,love
132,drunk
133,love
134,nothing
135,sober
136,know
137,i’m
138,drunk
139,love
140,drunk
141,drunk
142,love
143,nothing
144,sober
145,it’s
146,need
147,outro
148,it’s
149,need
150,it’s
151,need
