,Love Is a Laserquest_Arctic Monkeys
0,you
1,still
2,feel
3,younger
4,you
5,thought
6,you
7,would
8,darling
9,you
10,started
11,feeling
12,old
13,yet
14,worry
15,i'm
16,sure
17,you're
18,still
19,breaking
20,hearts
21,efficiency
22,youth
23,harness
24,you
25,still
26,think
27,love
28,laserquest
29,you
30,take
31,seriously
32,i've
33,tried
34,ask
35,you
36,daydreams
37,i've
38,you're
39,always
40,busy
41,makebelieve
42,you
43,look
44,mirror
45,remind
46,yourself
47,you're
48,somebody's
49,goodnight
50,kisses
51,got
52,covered
53,i'm
54,honest
55,i
56,pretend
57,you
58,lover
59,i
60,can't
61,think
62,air
63,without
64,thinking
65,you
66,i
67,doubt
68,comes
69,surprise
70,i
71,can't
72,think
73,anything
74,dream
75,i
76,can't
77,find
78,anywhere
79,hide
80,i'm
81,hanging
82,rings
83,around
84,my
85,eyes
86,i
87,convince
88,myself
89,i
90,need
91,another
92,minute
93,gets
94,easy
95,pretend
96,you
97,lover
98,instrumental
99,break
100,i'm
101,pipe
102,slippers
103,rocking
104,chair
105,singing
106,dreadful
107,songs
108,summer
109,i
110,found
111,better
112,method
113,pretending
114,you
115,lover
116,i
117,found
118,better
119,method
120,pretending
121,you
122,lover
