,Hanging On_Active Child
0,you
1,know
2,can't
3,get
4,away
5,i'm
6,calling
7,your
8,name
9,everyday
10,i
11,feel
12,pain
13,you
14,turn
15,walk
16,away
17,i
18,can't
19,keep
20,hanging
21,you
22,me
23,i
24,know
25,wrong
26,you
27,me
28,touch
29,me
30,turn
31,away
32,put
33,your
34,hands
35,flame
36,tell
37,me
38,you
39,feel
40,pain
41,'cause
42,i
43,want
44,your
45,ball
46,chain
47,i
48,can't
49,keep
50,hanging
51,you
52,me
53,i
54,know
55,wrong
56,you
57,me
58,you
59,me
60,interlude
61,i
62,can't
63,keep
64,hanging
65,you
66,me
67,i
68,know
69,wrong
70,i
71,can't
72,keep
73,hanging
74,you
75,i
76,know
77,wrong
