,Crawl_Chris Brown
0,everybody
1,sees
2,i'm
3,one
4,lost
5,view
6,everybody
7,says
8,we're
9,hope
10,said
11,pre-chorus
12,go
13,fear
14,eyes
15,love
16,take
17,us
18,we've
19,far
20,still
21,touch
22,sky
23,crawl
24,'til
25,walk
26,we'll
27,run
28,we're
29,strong
30,enough
31,jump
32,we'll
33,fly
34,wind
35,let's
36,crawl
37,crawl
38,crawl
39,back
40,love
41,yeah
42,back
43,love
44,yeah
45,change
46,pace
47,hearts
48,never
49,meant
50,race
51,always
52,felt
53,need
54,space
55,can't
56,reach
57,face
58,face
59,pre-chorus
60,standing
61,crowd
62,faults
63,faults
64,oh
65,love
66,can't
67,see
68,hand
69,need
70,one
71,chance
72,still
73,we'll
74,crawl
75,crawl
76,'til
77,walk
78,we'll
79,run
80,we'll
81,run
82,we're
83,strong
84,enough
85,jump
86,we'll
87,fly
88,wind
89,let's
90,crawl
91,crawl
92,crawl
93,back
94,love
95,yeah
96,back
97,love
98,yeah
99,bridge
100,everybody
101,sees
102,well
103,never
104,wanna
105,lose
106,view
107,we'll
108,crawl
109,crawl
110,'til
111,walk
112,we'll
113,run
114,we'll
115,run
116,we're
117,strong
118,enough
119,jump
120,we'll
121,fly
122,wind
123,let's
124,crawl
125,crawl
126,crawl
127,we'll
128,crawl
129,crawl
130,oh
131,'til
132,walk
133,'til
134,walk
135,we'll
136,run
137,we'll
138,run
139,we're
140,strong
141,enough
142,jump
143,we'll
144,fly
145,yeah
146,yeah
147,wind
148,let's
149,crawl
150,let's
151,crawl
152,let's
153,crawl
154,back
155,love
