,I Melt with You_Nouvelle Vague
0,moving
1,forward
2,using
3,my
4,breath
5,making
6,love
7,you
8,never
9,second
10,best
11,i
12,saw
13,world
14,thrashing
15,around
16,your
17,face
18,never
19,really
20,knowing
21,always
22,mesh
23,lace
24,i'll
25,stop
26,world
27,melt
28,you
29,you've
30,seen
31,difference
32,getting
33,better
34,time
35,there's
36,nothing
37,you
38,i
39,i'll
40,stop
41,world
42,melt
43,you
44,dream
45,better
46,lives
47,kind
48,never
49,hate
50,dropped
51,state
52,imaginary
53,grace
54,i
55,made
56,pilgrimage
57,save
58,humans
59,race
60,yes
61,i
62,i'm
63,comprehending
64,race
65,long
66,gone
67,bye
68,i'll
69,stop
70,world
71,melt
72,you
73,you've
74,seen
75,difference
76,getting
77,better
78,time
79,there's
80,nothing
81,you
82,i
83,i'll
84,stop
85,world
86,melt
87,you
88,future's
89,open
90,wide
91,i'll
92,stop
93,world
94,melt
95,you
96,you've
97,seen
98,difference
99,getting
100,better
101,time
102,there's
103,nothing
104,you
105,i
106,i'll
107,stop
108,world
109,melt
110,you
111,yeah
112,i'll
113,stop
114,world
115,melt
116,you
117,i'll
118,stop
119,world
120,melt
121,you
122,yeah
123,yeah
