,She's Like the Wind_Patrick Swayze
0,patrick
1,swayze
2,like
3,wind
4,tree
5,rides
6,night
7,next
8,leads
9,moonlight
10,burn
11,sun
12,taken
13,heart
14,know
15,done
16,pre-chorus
17,patrick
18,swayze
19,feel
20,breath
21,face
22,body
23,close
24,can't
25,look
26,eyes
27,league
28,patrick
29,swayze
30,fool
31,believe
32,anything
33,needs
34,like
35,wind
36,patrick
37,swayze
38,look
39,mirror
40,see
41,young
42,old
43,man
44,dream
45,fooling
46,she'll
47,stop
48,pain
49,living
50,without
51,i'd
52,go
53,insane
54,pre-chorus
55,patrick
56,swayze
57,feel
58,breath
59,face
60,body
61,close
62,can't
63,look
64,eyes
65,league
66,patrick
67,swayze
68,fool
69,believe
70,anything
71,needs
72,like
73,wind
74,pre-chorus
75,patrick
76,swayze
77,&
78,wendy
79,fraser
80,feel
81,breath
82,face
83,body
84,close
85,can't
86,look
87,eyes
88,league
89,bridge
90,patrick
91,swayze
92,&
93,wendy
94,fraser
95,fool
96,believe
97,fool
98,believe
99,like
100,wind
101,fool
102,believe
103,fool
104,believe
105,like
106,wind
107,fool
108,believe
109,fool
110,believe
111,like
112,wind
113,fool
114,believe
115,fool
116,believe
117,like
118,wind
119,outro
120,fool
121,like
122,wind
123,like
124,wind
125,fool
126,like
127,wind
128,fool
