,Your Love_Nicki Minaj
0,shawty
1,i'mma
2,tell
3,illest
4,ba
5,ba-da
6,da
7,doh
8,loving
9,i'mma
10,die
11,hard
12,like
13,bruce
14,willis
15,ba
16,ba-da
17,da
18,doh
19,got
20,spark
21,got
22,spunk
23,got
24,something
25,girls
26,want
27,like
28,candy
29,store
30,i'm
31,toddler
32,got
33,wanting
34,m-m-more
35,love
36,love
37,yeah
38,love
39,love
40,yeah
41,love
42,love
43,yeah
44,love
45,love
46,yeah
47,love
48,love
49,love
50,love
51,love
52,love
53,love
54,love
55,uh
56,uh
57,yo
58,type
59,pop
60,tags
61,cockin'
62,brim
63,might
64,breeze
65,ave
66,might
67,stop
68,gym
69,keep
70,doo-rag
71,keep
72,wave
73,swim
74,w-w-waves
75,swim
76,hate
77,anyway
78,think
79,met
80,sometime
81,different
82,life
83,record
84,mean
85,adam
86,think
87,eve
88,vision
89,ends
90,apple
91,tree
92,'s-s-s'
93,chest
94,'cause
95,i'm
96,ready
97,save
98,ready
99,give
100,anybody
101,plays
102,think
103,love
104,love
105,like
106,raised
107,call
108,mama
109,lil
110,mama
111,call
112,baby
113,shawty
114,i'mma
115,tell
116,illest
117,ba
118,ba-da
119,da
120,doh
121,loving
122,i'mma
123,die
124,hard
125,like
126,bruce
127,willis
128,ba
129,ba-da
130,da
131,doh
132,got
133,spark
134,got
135,spunk
136,got
137,something
138,girls
139,want
140,like
141,candy
142,store
143,i'm
144,toddler
145,got
146,wanting
147,m-m-more
148,love
149,love
150,yeah
151,love
152,love
153,yeah
154,love
155,love
156,yeah
157,love
158,love
159,yeah
160,love
161,love
162,love
163,love
164,love
165,love
166,love
167,love
168,type
169,keep
170,couple
171,hundred
172,grand
173,rubber
174,band
175,left
176,money
177,gram
178,lemon
179,lam'
180,hot
181,damn
182,make
183,scream
184,like
185,summer
186,jam
187,mean
188,nigga
189,must
190,motherland
191,anyway
192,think
193,met
194,sky
195,geisha
196,samurai
197,somehow
198,understood
199,spoke
200,thai
201,never
202,spoke
203,lies
204,never
205,broke
206,fly
207,'s-s-s'
208,chest
209,let
210,get
211,cape
212,he's
213,thugged
214,-
215,ghostface
216,raekwon
217,"""konvict"""
218,like
219,akon
220,'cause
221,know
222,snitches
223,putting
224,jake
225,shawty
226,i'mma
227,tell
228,illest
229,ba
230,ba-da
231,da
232,doh
233,loving
234,i'mma
235,die
236,hard
237,like
238,bruce
239,willis
240,ba
241,ba-da
242,da
243,doh
244,got
245,spark
246,got
247,spunk
248,got
249,something
250,girls
251,want
252,like
253,candy
254,store
255,i'm
256,toddler
257,got
258,wanting
259,m-m-more
260,love
261,love
262,yeah
263,love
264,love
265,yeah
266,love
267,love
268,yeah
269,love
270,love
271,yeah
272,love
273,love
274,love
275,love
276,love
277,love
278,love
279,love
280,outro
281,find
282,dark
283,i'll
284,stars
285,find
286,heart
287,i'm
288,need
289,love
290,love
291,love
292,love
293,baby
294,illest
295,love
296,love
