,The Biggest Lie_Elliott Smith
0,i'm
1,waiting
2,train
3,subway
4,goes
5,one
6,way
7,stupid
8,thing
9,come
10,pull
11,us
12,apart
13,make
14,everybody
15,late
16,you
17,spent
18,everything
19,you
20,wanted
21,everything
22,stop
23,bad
24,i'm
25,crushed
26,credit
27,card
28,registered
29,smith
30,name
31,you
32,call
33,me
34,you
35,turned
36,white
37,like
38,saint
39,i'm
40,tired
41,dancing
42,pot
43,goldflaked
44,paint
45,oh
46,we're
47,precious
48,you
49,i
50,everything
51,you
52,makes
53,me
54,want
55,die
56,oh
57,i
58,told
59,biggest
60,lie
61,i
62,told
63,biggest
64,lie
65,biggest
66,lie
