,Who You Love_John Mayer
0,prechorus
1,john
2,mayer
3,you
4,love
5,you
6,love
7,you
8,love
9,you
10,love
11,you
12,love
13,you
14,love
15,john
16,mayer
17,my
18,girl
19,she
20,one
21,i
22,saw
23,coming
24,sometimes
25,i
26,know
27,way
28,go
29,i
30,tried
31,run
32,i'm
33,running
34,anymore
35,i've
36,fought
37,against
38,hard
39,enough
40,know
41,prechorus
42,john
43,mayer
44,you
45,love
46,you
47,love
48,you
49,love
50,you
51,love
52,you
53,love
54,you
55,love
56,you
57,love
58,you
59,love
60,you
61,love
62,john
63,mayer
64,oh
65,you
66,can't
67,make
68,yourself
69,stop
70,dreaming
71,you're
72,dreaming
73,you
74,love
75,you
76,love
77,katy
78,perry
79,my
80,boy
81,ain't
82,one
83,i
84,saw
85,coming
86,said
87,his
88,heart's
89,hard
90,hold
91,takes
92,little
93,time
94,you
95,see
96,him
97,he
98,shines
99,you
100,never
101,want
102,let
103,feeling
104,go
105,prechorus
106,katy
107,perry
108,john
109,mayer
110,you
111,love
112,you
113,love
114,you
115,love
116,you
117,love
118,you
119,love
120,you
121,love
122,yeah
123,you
124,love
125,you
126,love
127,you
128,love
129,john
130,mayer
131,oh
132,you
133,can't
134,make
135,yourself
136,stop
137,dreaming
138,you're
139,dreaming
140,you
141,love
142,you
143,love
144,prechorus
145,john
146,mayer
147,katy
148,perry
149,oh
150,you
151,love
152,you
153,love
154,you
155,love
156,you
157,love
158,you
159,love
160,you
161,love
162,you
163,love
164,you
165,love
166,you
167,love
168,john
169,mayer
170,oh
171,you
172,can't
173,make
174,yourself
175,stop
176,dreaming
177,you're
178,dreaming
179,you
180,love
181,you
182,love
183,katy
184,perry
185,you
186,love
187,you
188,love
189,you
190,love
191,you
192,love
193,you're
194,one
195,i
196,love
