,Sweetest Kill_Broken Social Scene
0,thought
1,sweetest
2,kill
3,even
4,know
5,time
6,thought
7,show
8,try
9,pull
10,would
11,even
12,go
13,thought
14,sweetest
15,kill
16,even
17,know
18,held
19,hand
20,light
21,scars
22,back
23,time
24,right
25,retract
26,try
27,put
28,wear
29,get
30,idea
31,luck
32,thought
33,sweetest
34,kill
35,even
36,know
37,time
38,get
39,trying
40,figure
41,lives
42,like
43,fade
44,time
45,get
46,trying
47,figure
48,lives
49,like
50,fade
51,took
52,level
53,ten
54,twelve
55,went
56,we've
57,self
58,try
59,wear
60,put
61,get
62,work
63,thought
64,sweetest
65,kill
66,could
67,even
68,know
69,time
70,get
71,trying
72,figure
73,lives
74,like
75,fade
76,time
77,get
78,trying
79,figure
80,lives
81,like
82,fade
83,time
84,get
85,trying
86,figure
87,lives
88,like
89,fade
90,time
91,get
92,trying
93,figure
94,lives
95,like
96,fade
97,outro
98,break
99,world
100,break
101,world
102,let
103,break
104,world
105,break
106,world
