,I Won't Let You Go_James Morrison
0,black
1,take
2,little
3,time
4,hold
5,take
6,little
7,time
8,feel
9,around
10,gone
11,let
12,go
13,still
14,keep
15,falling
16,remember
17,saved
18,wrongs
19,yeah
20,there's
21,love
22,feel
23,there's
24,life
25,we'll
26,see
27,time
28,alone
29,alone
30,yeah
31,let
32,go
33,say
34,words
35,say
36,words
37,like
38,there's
39,nothing
40,else
41,close
42,eyes
43,might
44,believe
45,way
46,yeah
47,open
48,open
49,heart
50,let
51,come
52,pouring
53,there's
54,nothing
55,can't
56,take
57,there's
58,love
59,feel
60,there's
61,life
62,we'll
63,see
64,ain't
65,time
66,alone
67,alone
68,yeah
69,let
70,go
71,sky
72,falling
73,take
74,hand
75,hold
76,alone
77,alone
78,yeah
79,let
80,go
81,bridge
82,feel
83,fading
84,light
85,weak
86,carry
87,fight
88,friends
89,count
90,disappeared
91,i'll
92,gone
93,forever
94,holding
95,oh
96,there's
97,love
98,feel
99,there's
100,life
101,we'll
102,see
103,ain't
104,time
105,alone
106,alone
107,yeah
108,let
109,go
110,sky
111,falling
112,take
113,hand
114,hold
115,alone
116,alone
117,yeah
118,let
119,go
120,let
121,go
122,let
123,let
124,go
125,let
126,let
127,go
128,let
129,go
