,Photobooth_Death Cab for Cutie
0,remember
1,days
2,long
3,nights
4,living
5,room
6,lawn
7,constant
8,quarreling
9,childish
10,fits
11,clothes
12,pile
13,ottoman
14,slander
15,double-speak
16,foolish
17,attempts
18,show
19,mean
20,anything
21,blatant
22,proof
23,lips
24,touching
25,mine
26,photobooth
27,summer's
28,ending
29,cool
30,air
31,push
32,hard
33,heart
34,away
35,condescending
36,that's
37,left
38,scraping
39,paper
40,document
41,i've
42,packed
43,change
44,clothes
45,time
46,move
47,cup
48,mouth
49,compress
50,sound
51,skinny
52,dipping
53,kids
54,nearby
55,town
56,everything
57,said
58,true
59,flashes
60,blinded
61,us
62,photobooth
63,well
64,lost
65,track
66,words
67,said
68,took
69,wheel
70,steered
71,us
72,bed
73,soon
74,woke
75,walked
76,home
77,pretty
78,clear
79,hardly
80,love
81,summer's
82,ending
83,cool
84,air
85,rush
86,hard
87,heart
88,away
89,condescending
90,that's
91,left
92,scraping
93,paper
94,document
95,i've
96,packed
97,change
98,clothes
99,time
100,move
101,summer's
102,ending
103,cool
104,air
105,rush
106,hard
107,heart
108,away
109,condescending
110,alcohol
111,drained
112,days
113,summer’s
114,ending
115,cool
116,air
117,rush
118,hard
119,heart
120,away
121,condescending
122,that’s
123,left
124,empty
125,bottles
126,spent
127,cigarettes
128,pack
129,change
130,clothes
131,cause
132,it’s
133,time
134,move
