,Pictures Of You_The Last Goodnight
0,clock
1,upon
2,wall
3,story
4,us
5,first
6,sound
7,newborn
8,child
9,he
10,starts
11,crawl
12,war
13,that's
14,never
15,soldier
16,his
17,gun
18,mother
19,waiting
20,phone
21,praying
22,her
23,son
24,pictures
25,you
26,pictures
27,me
28,hung
29,upon
30,your
31,wall
32,world
33,see
34,pictures
35,you
36,pictures
37,me
38,remind
39,us
40,used
41,drug
42,cures
43,blocked
44,governmental
45,wall
46,scientists
47,inside
48,lab
49,waiting
50,call
51,earthquake
52,weather
53,got
54,me
55,shaking
56,inside
57,i'm
58,high
59,dry
60,pictures
61,you
62,pictures
63,me
64,hung
65,upon
66,your
67,wall
68,world
69,see
70,pictures
71,you
72,pictures
73,me
74,remind
75,us
76,used
77,confess
78,me
79,every
80,secret
81,moment
82,every
83,stolen
84,promise
85,you
86,believed
87,confess
88,me
89,lies
90,us
91,lies
92,you
93,me
94,boxers
95,ring
96,bells
97,never
98,sing
99,title
100,can't
101,win
102,matter
103,hard
104,might
105,swing
106,pictures
107,you
108,pictures
109,me
110,hung
111,upon
112,your
113,wall
114,world
115,see
116,pictures
117,you
118,pictures
119,me
120,remind
121,us
122,could
123,pictures
124,you
125,pictures
126,me
127,hung
128,upon
129,your
130,wall
131,world
132,see
133,pictures
134,you
135,pictures
136,me
137,remind
138,us
139,could
140,could
141,could
142,pictures
143,you
144,pictures
145,me
146,remind
147,us
148,could
149,could
