,I Don't Want to Miss a Thing_Aerosmith
0,could
1,stay
2,awake
3,hear
4,breathin'
5,watch
6,smile
7,sleeping
8,far
9,away
10,dreaming
11,could
12,spend
13,life
14,sweet
15,surrender
16,could
17,stay
18,lost
19,moment
20,forever
21,every
22,moment
23,spent
24,moment
25,treasure
26,want
27,close
28,eyes
29,want
30,fall
31,asleep
32,'cause
33,i'd
34,miss
35,baby
36,wanna
37,miss
38,thing
39,'cause
40,even
41,dream
42,even
43,dream
44,sweetest
45,dream
46,would
47,never
48,i'd
49,still
50,miss
51,babe
52,want
53,miss
54,thing
55,lying
56,close
57,feeling
58,heart
59,beating
60,i'm
61,wondering
62,dreaming
63,wonderin'
64,seeing
65,kiss
66,eyes
67,thank
68,god
69,we're
70,together
71,want
72,stay
73,moment
74,forever
75,forever
76,ever
77,want
78,close
79,eyes
80,want
81,fall
82,asleep
83,'cause
84,i'd
85,miss
86,baby
87,wanna
88,miss
89,thing
90,'cause
91,even
92,dream
93,even
94,dream
95,sweetest
96,dream
97,would
98,never
99,i'd
100,still
101,miss
102,baby
103,want
104,miss
105,thing
106,bridge
107,want
108,miss
109,one
110,smile
111,want
112,miss
113,one
114,kiss
115,well
116,want
117,right
118,like
119,want
120,hold
121,close
122,feel
123,heart
124,close
125,mine
126,stay
127,moment
128,rest
129,time
130,yeah
131,yeah
132,yeah
133,yeah
134,yeah
135,want
136,close
137,eyes
138,want
139,fall
140,asleep
141,'cause
142,i'd
143,miss
144,baby
145,wanna
146,miss
147,thing
148,'cause
149,even
150,dream
151,even
152,dream
153,sweetest
154,dream
155,would
156,never
157,i'd
158,still
159,miss
160,baby
161,want
162,miss
163,thing
164,want
165,close
166,eyes
167,want
168,fall
169,asleep
170,'cause
171,i'd
172,miss
173,baby
174,wanna
175,miss
176,thing
177,'cause
178,even
179,dream
180,sweetest
181,dream
182,would
183,never
184,i'd
185,still
186,miss
187,baby
188,want
189,miss
190,thing
191,outro
192,want
193,close
194,eyes
195,want
196,fall
197,asleep
198,yeah
199,want
200,miss
201,thing
