,Always Remember Us This Way_Lady Gaga
0,arizona
1,sky
2,burnin'
3,eyes
4,look
5,babe
6,wanna
7,catch
8,fire
9,it’s
10,buried
11,soul
12,like
13,california
14,gold
15,found
16,light
17,couldn’t
18,find
19,i'm
20,choked
21,can't
22,find
23,words
24,every
25,time
26,say
27,goodbye
28,baby
29,hurts
30,sun
31,goes
32,band
33,play
34,i'll
35,always
36,remember
37,us
38,way
39,lovers
40,night
41,poets
42,tryna
43,write
44,know
45,rhyme
46,damn
47,try
48,really
49,know
50,wanna
51,go
52,part
53,that's
54,never
55,die
56,i'm
57,choked
58,can't
59,find
60,words
61,every
62,time
63,say
64,goodbye
65,baby
66,hurts
67,sun
68,goes
69,band
70,play
71,i'll
72,always
73,remember
74,us
75,way
76,bridge
77,oh
78,yeah
79,wanna
80,memory
81,baby
82,yeah
83,hoo
84,hoo
85,hoo
86,hoo
87,hoo
88,hoo
89,hoo
90,hoo
91,hoo
92,hoo
93,hoo
94,hoo
95,hoo
96,hoo
97,hoo
98,hoo
99,hoo
100,hoo
101,hooooooooo
102,i'm
103,choked
104,can't
105,find
106,words
107,every
108,time
109,say
110,goodbye
111,baby
112,hurts
113,sun
114,goes
115,band
116,play
117,i'll
118,always
119,remember
120,us
121,way
122,way
123,yeah
124,outro
125,look
126,whole
127,world
128,fades
129,i'll
130,always
131,remember
132,us
133,way
134,outro
135,oooh
136,oooh
137,hmmmm
138,oooh
139,oooh
140,hmmmm
