,All the Right Moves_OneRepublic
0,right
1,friends
2,right
3,places
4,yeah
5,we're
6,going
7,they've
8,got
9,right
10,moves
11,right
12,faces
13,yeah
14,we're
15,going
16,let's
17,paint
18,picture
19,perfect
20,place
21,they've
22,got
23,better
24,anyone's
25,told
26,you
27,they'll
28,king
29,hearts
30,you're
31,queen
32,spades
33,we'll
34,fight
35,you
36,like
37,your
38,soldiers
39,i
40,know
41,got
42,good
43,got
44,made
45,grass
46,getting
47,greener
48,day
49,i
50,know
51,things
52,looking
53,soon
54,they'll
55,take
56,us
57,anybody's
58,knowing
59,name
60,they've
61,got
62,right
63,friends
64,right
65,places
66,yeah
67,we're
68,going
69,they've
70,got
71,right
72,moves
73,right
74,faces
75,yeah
76,we're
77,going
78,say
79,everybody
80,knows
81,everybody
82,knows
83,we're
84,going
85,yeah
86,we're
87,going
88,say
89,everybody
90,knows
91,everybody
92,knows
93,we're
94,going
95,yeah
96,we're
97,going
98,you
99,think
100,i'm
101,special
102,you
103,think
104,i'm
105,nice
106,i
107,bright
108,enough
109,shine
110,your
111,spaces
112,noise
113,you
114,hear
115,sounds
116,you
117,like
118,sinking
119,ocean
120,faces
121,can't
122,possible
123,rain
124,fall
125,heads
126,sun
127,shining
128,everyday
129,far
130,away
131,world
132,that's
133,dead
134,they've
135,got
136,they've
137,got
138,right
139,friends
140,right
141,places
142,yeah
143,we're
144,going
145,they've
146,got
147,right
148,moves
149,right
150,faces
151,yeah
152,we're
153,going
154,say
155,everybody
156,knows
157,everybody
158,knows
159,we're
160,going
161,yeah
162,we're
163,going
164,say
165,everybody
166,knows
167,everybody
168,knows
169,we're
170,going
171,yeah
172,we're
173,going
174,matter
175,you
176,see
177,i
178,know
179,i
180,could
181,never
182,someone
183,look
184,like
185,you
186,matter
187,you
188,say
189,i
190,know
191,i
192,could
193,never
194,fake
195,someone
196,could
197,sound
198,like
199,you
200,right
201,friends
202,right
203,places
204,yeah
205,we're
206,going
207,they've
208,got
209,right
210,moves
211,right
212,faces
213,yeah
214,we're
215,going
216,right
217,friends
218,right
219,places
220,yeah
221,we're
222,going
223,they've
224,got
225,right
226,moves
227,right
228,faces
229,yeah
230,we're
231,going
232,say
233,everybody
234,knows
235,everybody
236,knows
237,we're
238,going
239,yeah
240,we're
241,going
242,say
243,everybody
244,knows
245,everybody
246,knows
247,we're
248,going
249,yeah
250,we're
251,going
252,yeah
253,we're
254,going
255,yeah
256,we're
257,going
258,right
259,moves
260,hey
261,yeah
262,we're
263,going
264,right
265,moves
266,hey
267,yeah
268,we're
269,going
