,Back at Your Door_Maroon 5
0,moment
1,lights
2,went
3,everything
4,changed
5,lie
6,awake
7,empty
8,room
9,my
10,head
11,feels
12,like
13,taste
14,day
15,you
16,left
17,still
18,lingers
19,my
20,breath
21,dampness
22,tears
23,left
24,stain
25,you
26,wept
27,alone
28,negligee
29,still
30,hangs
31,my
32,bed
33,i
34,keep
35,meaning
36,give
37,away
38,i
39,leave
40,instead
41,need
42,cry
43,i
44,cannot
45,live
46,without
47,every
48,time
49,i
50,wind
51,back
52,your
53,door
54,you
55,me
56,you
57,penetrate
58,right
59,me
60,every
61,time
62,i
63,wind
64,back
65,your
66,door
67,three
68,days
69,'til
70,i
71,see
72,your
73,face
74,i’m
75,afraid
76,it’s
77,far
78,much
79,cook
80,meal
81,fix
82,place
83,dial
84,your
85,number
86,hang
87,i
88,took
89,you
90,granted
91,i
92,apologize
93,acting
94,tough
95,you’re
96,my
97,reason
98,living
99,there’s
100,way
101,i’m
102,giving
103,oh
104,need
105,cry
106,i
107,cannot
108,live
109,without
110,every
111,time
112,i
113,wind
114,back
115,your
116,door
117,you
118,me
119,you
120,penetrate
121,right
122,me
123,every
124,time
125,i
126,wind
127,back
128,your
129,door
130,every
131,evening
132,bitter
133,fight
134,i’m
135,eating
136,home
137,alone
138,friday
139,night
140,i
141,know
142,your
143,friends
144,say
145,he's
146,wasting
147,your
148,love
149,time
150,i
151,never
152,let
153,you
154,change
155,your
156,mind
157,need
158,cry
159,i
160,cannot
161,live
162,without
163,every
164,time
165,i
166,wind
167,back
168,your
169,door
170,you
171,me
172,you
173,penetrate
174,right
175,me
176,every
177,time
178,i
179,wind
180,back
181,your
182,door
183,variation
184,need
185,cry
186,i
187,may
188,die
189,without
190,every
191,time
192,i
193,wind
194,back
195,your
196,door
197,you
198,me
199,you
200,penetrate
201,right
202,me
203,every
204,time
205,i
206,wind
207,back
208,your
209,door
210,every
211,time
212,i
213,wind
214,back
215,your
216,door
217,every
218,time
219,i
220,wind
221,back
222,your
223,door
