,Thirty-Three_The Smashing Pumpkins
0,speak
1,me
2,language
3,i
4,hear
5,humor
6,me
7,i
8,go
9,deep
10,thought
11,i
12,forgive
13,everyone
14,cluttered
15,streets
16,greet
17,me
18,i
19,know
20,i
21,can't
22,late
23,supper's
24,waiting
25,table
26,tomorrow's
27,excuse
28,away
29,i
30,pull
31,my
32,collar
33,face
34,cold
35,my
36,earth
37,laughs
38,beneath
39,my
40,heavy
41,feet
42,blasphemy
43,my
44,old
45,jangly
46,walk
47,steeple
48,guide
49,me
50,my
51,heart
52,home
53,sun
54,prechorus
55,i
56,know
57,i'll
58,make
59,love
60,last
61,forever
62,graceful
63,swans
64,never
65,topple
66,earth
67,you
68,make
69,last
70,forever
71,you
72,you
73,make
74,last
75,forever
76,you
77,make
78,last
79,moment
80,i
81,lose
82,myself
83,wrapped
84,pleasures
85,world
86,i've
87,journeyed
88,back
89,old
90,haunts
91,i
92,still
93,find
94,my
95,friends
96,mysteries
97,ready
98,reveal
99,sympathies
100,i'm
101,ready
102,return
103,prechorus
104,i'll
105,make
106,effort
107,love
108,last
109,forever
110,graceful
111,swans
112,never
113,topple
114,earth
115,tomorrow's
116,excuse
117,tomorrow's
118,excuse
119,you
120,make
121,last
122,forever
123,you
124,make
125,last
126,forever
127,you
128,make
129,last
130,forever
131,you
132,forever
133,you
