,Bleeding Love_Leona Lewis
0,closed
1,love
2,i
3,need
4,pain
5,twice
6,enough
7,vain
8,time
9,starts
10,pass
11,you
12,know
13,you're
14,frozen
15,something
16,happened
17,first
18,time
19,you
20,my
21,heart
22,melted
23,ground
24,found
25,something
26,true
27,everyone's
28,looking
29,round
30,thinking
31,i'm
32,going
33,crazy
34,prechorus
35,i
36,care
37,say
38,i'm
39,love
40,you
41,try
42,pull
43,me
44,away
45,know
46,truth
47,my
48,heart's
49,crippled
50,vein
51,i
52,keep
53,closing
54,you
55,cut
56,me
57,open
58,i
59,keep
60,bleeding
61,keep
62,keep
63,bleeding
64,love
65,i
66,keep
67,bleeding
68,i
69,keep
70,keep
71,bleeding
72,love
73,keep
74,bleeding
75,keep
76,keep
77,bleeding
78,love
79,you
80,cut
81,me
82,open
83,trying
84,hard
85,hear
86,talk
87,loud
88,piercing
89,sounds
90,fill
91,my
92,ears
93,try
94,fill
95,me
96,doubt
97,yet
98,i
99,know
100,goal
101,keep
102,me
103,falling
104,nothing's
105,greater
106,risk
107,comes
108,your
109,embrace
110,world
111,loneliness
112,i
113,see
114,your
115,face
116,yet
117,everyone
118,around
119,me
120,thinks
121,i'm
122,going
123,crazy
124,maybe
125,maybe
126,prechorus
127,i
128,care
129,say
130,i'm
131,love
132,you
133,try
134,pull
135,me
136,away
137,know
138,truth
139,my
140,heart's
141,crippled
142,vein
143,i
144,keep
145,closing
146,you
147,cut
148,me
149,open
150,i
151,keep
152,bleeding
153,keep
154,keep
155,bleeding
156,love
157,i
158,keep
159,bleeding
160,i
161,keep
162,keep
163,bleeding
164,love
165,keep
166,bleeding
167,keep
168,keep
169,bleeding
170,love
171,you
172,cut
173,me
174,open
175,draining
176,me
177,though
178,find
179,hard
180,believe
181,i'll
182,wearing
183,scars
184,everyone
185,see
186,prechorus
187,i
188,care
189,say
190,i'm
191,love
192,you
193,try
194,pull
195,me
196,away
197,know
198,truth
199,my
200,heart's
201,crippled
202,vein
203,i
204,keep
205,closing
206,you
207,cut
208,me
209,open
210,i
211,keep
212,bleeding
213,keep
214,keep
215,bleeding
216,love
217,i
218,keep
219,bleeding
220,i
221,keep
222,keep
223,bleeding
224,love
225,keep
226,bleeding
227,keep
228,keep
229,bleeding
230,love
231,ooh
232,you
233,cut
234,me
235,open
236,i
237,keep
238,bleeding
239,keep
240,keep
241,bleeding
242,love
243,i
244,keep
245,bleeding
246,oohhh
247,i
248,keep
249,keep
250,bleeding
251,love
252,keep
253,bleeding
254,i
255,keep
256,keep
257,keep
258,bleeding
259,love
260,ooh
261,you
262,cut
263,me
264,open
265,i
266,keep
267,bleeding
268,keep
269,keep
270,bleeding
271,love
