,Our Way to Fall_Yo La Tengo
0,i
1,remember
2,summer's
3,day
4,i
5,remember
6,walking
7,you
8,i
9,remember
10,my
11,face
12,turned
13,red
14,i
15,remember
16,staring
17,my
18,feet
19,i
20,remember
21,met
22,i
23,remember
24,sitting
25,next
26,you
27,i
28,remember
29,pretending
30,i
31,looking
32,try
33,try
34,even
35,lasts
36,hour
37,might
38,try
39,make
40,cause
41,we're
42,way
43,we're
44,way
45,fall
46,love
47,i
48,remember
49,your
50,old
51,guitar
52,i
53,remember
54,i
55,can't
56,explain
57,i
58,remember
59,way
60,looked
61,around
62,your
63,neck
64,i
65,remember
66,day
67,broke
68,i
69,remember
70,song
71,you
72,sang
73,i
74,remember
75,way
76,you
77,look
78,tonight
79,i
80,remember
81,way
82,made
83,me
84,feel
85,we'll
86,try
87,try
88,even
89,lasts
90,hour
91,might
92,we'll
93,try
94,make
95,cause
96,we're
97,way
98,we're
99,way
100,fall
101,love
102,you'll
103,try
104,try
105,even
106,lasts
107,hour
108,might
109,try
110,make
111,cause
112,we're
113,way
114,we're
115,way
116,fall
117,love
118,yeah
119,we're
120,way
121,fall
122,love
123,we're
124,way
125,fall
126,love
127,we're
128,way
129,fall
130,love
