,Shape of My Heart_Backstreet Boys
0,brian
1,mmmmh
2,yeah
3,yeah
4,baby
5,please
6,try
7,forgive
8,me
9,stay
10,put
11,glow
12,glow
13,glow
14,hold
15,me
16,bother
17,every
18,minute
19,makes
20,me
21,weaker
22,you
23,save
24,me
25,man
26,i've
27,become
28,oh
29,yeah
30,looking
31,back
32,things
33,i've
34,done
35,i
36,trying
37,someone
38,i
39,played
40,my
41,part
42,kept
43,you
44,dark
45,let
46,me
47,show
48,you
49,shape
50,my
51,heart
52,aj
53,sadness
54,beautiful
55,loneliness
56,that's
57,tragical
58,help
59,me
60,i
61,can't
62,win
63,war
64,oh
65,touch
66,me
67,bother
68,every
69,second
70,makes
71,me
72,weaker
73,you
74,save
75,me
76,man
77,i've
78,become
79,looking
80,back
81,things
82,i've
83,done
84,i
85,trying
86,someone
87,i
88,played
89,my
90,part
91,kept
92,you
93,dark
94,let
95,me
96,show
97,you
98,shape
99,my
100,heart
101,nick
102,i'm
103,my
104,confession
105,got
106,nothing
107,hide
108,i
109,know
110,start
111,show
112,you
113,shape
114,my
115,heart
116,i'm
117,lookin'
118,back
119,things
120,i've
121,done
122,i
123,never
124,wanna
125,play
126,old
127,part
128,i'll
129,keep
130,you
131,dark
132,dark
133,let
134,me
135,show
136,you
137,shape
138,my
139,heart
140,looking
141,back
142,things
143,i've
144,done
145,i
146,trying
147,someone
148,trying
149,someone
150,i
151,played
152,my
153,part
154,kept
155,you
156,dark
157,let
158,me
159,show
160,you
161,shape
162,my
163,heart
164,looking
165,back
166,things
167,i've
168,done
169,i
170,trying
171,someone
172,i
173,played
174,my
175,part
176,kept
177,you
178,dark
179,let
180,me
181,show
182,you
183,shape
184,aj
185,show
186,you
187,shape
188,my
189,heart
