,Good Love_Bat for Lashes
0,nighttime
1,found
2,misty
3,sorrow
4,swoop
5,unbound
6,whisper
7,you
8,mean
9,say
10,you'll
11,stay
12,hold
13,my
14,heart
15,till
16,brighter
17,days
18,i
19,searching
20,i'll
21,alone
22,queen
23,hearts
24,dancing
25,her
26,throne
27,i
28,need
29,sorrow
30,baby
31,like
32,sorrow
33,drug
34,i
35,ever
36,find
37,place
38,call
39,'good
40,love'
41,good
42,love
43,past
44,last
45,night
46,dream
47,good
48,love
49,my
50,heart
51,caught
52,fire
53,i
54,drove
55,past
56,true
57,love
58,dream
59,like
60,house
61,caught
62,fire
63,burned
64,flamed
65,magician
66,disappeared
67,quickly
68,he
69,came
70,sound
71,like
72,white
73,magic
74,caught
75,black
76,car's
77,blazing
78,trail
79,house
80,set
81,fire
82,my
83,heart
84,like
85,inferno
86,shone
87,raged
88,i'd
89,swallowed
90,sun
91,your
92,form
93,i
94,woke
95,you
96,crying
97,i
98,woke
99,you
100,saying
101,good
102,love
103,past
104,last
105,night
106,dream
107,'good
108,love'
109,cause
110,my
111,heart
112,caught
113,fire
114,went
115,flames
116,good
117,love
118,past
119,last
120,night
121,dream
122,'good
123,love'
124,cause
125,my
126,heart
127,caught
128,fire
129,went
130,flames
