,Your Love Is My Drug_Ke$ha
0,maybe
1,i
2,need
3,rehab
4,maybe
5,need
6,sleep
7,i
8,got
9,sick
10,obsession
11,i'm
12,seeing
13,my
14,dreams
15,i'm
16,looking
17,every
18,alley
19,i'm
20,making
21,desperate
22,calls
23,i'm
24,staying
25,night
26,hoping
27,hitting
28,my
29,head
30,against
31,wall
32,prechorus
33,you've
34,got
35,boy
36,hard
37,find
38,i
39,think
40,time
41,i'm
42,strung
43,my
44,heart
45,fried
46,i
47,can't
48,get
49,you
50,my
51,mind
52,your
53,love
54,your
55,love
56,your
57,love
58,my
59,drug
60,your
61,love
62,your
63,love
64,your
65,love
66,i
67,said
68,your
69,love
70,your
71,love
72,your
73,love
74,my
75,drug
76,your
77,love
78,your
79,love
80,your
81,love
82,listen
83,advice
84,momma's
85,telling
86,me
87,i
88,think
89,twice
90,better
91,left
92,my
93,devices
94,i'm
95,addicted
96,crisis
97,my
98,friends
99,think
100,i've
101,gone
102,crazy
103,my
104,judgment's
105,getting
106,kinda
107,hazy
108,my
109,steeze
110,gonna
111,affected
112,i
113,keep
114,like
115,lovesick
116,crackhead
117,prechorus
118,you've
119,got
120,boy
121,hard
122,find
123,i
124,think
125,time
126,i'm
127,strung
128,my
129,heart
130,fried
131,i
132,can't
133,get
134,you
135,my
136,mind
137,your
138,love
139,your
140,love
141,your
142,love
143,my
144,drug
145,your
146,love
147,your
148,love
149,your
150,love
151,i
152,said
153,your
154,love
155,your
156,love
157,your
158,love
159,my
160,drug
161,your
162,love
163,your
164,love
165,your
166,love
167,i
168,care
169,people
170,say
171,rush
172,worth
173,price
174,i
175,pay
176,i
177,get
178,high
179,you're
180,me
181,crash
182,crave
183,you
184,you
185,leave
186,hey
187,i
188,got
189,question
190,you
191,wanna
192,slumber
193,party
194,my
195,basement
196,i
197,make
198,your
199,heart
200,beat
201,like
202,808
203,drum
204,my
205,love
206,your
207,drug
208,your
209,drug
210,huh
211,your
212,drug
213,huh
214,your
215,drug
216,my
217,love
218,your
219,drug
220,your
221,love
222,your
223,love
224,your
225,love
226,my
227,drug
228,your
229,love
230,your
231,love
232,your
233,love
234,i
235,said
236,your
237,love
238,your
239,love
240,your
241,love
242,my
243,drug
244,your
245,love
246,your
247,love
248,your
249,love
250,your
251,love
252,your
253,love
254,your
255,love
256,my
257,drug
258,your
259,love
260,your
261,love
262,your
263,love
264,i
265,said
266,your
267,love
268,your
269,love
270,your
271,love
272,my
273,drug
274,your
275,love
276,your
277,love
278,your
279,love
280,hey
281,hey
282,your
283,love
284,your
285,love
286,your
287,love
288,your
289,love
290,my
291,drug
292,i
293,like
294,your
295,beard
