,Parachute_Cheryl Cole
0,i
1,tell
2,anyone
3,way
4,you
5,hold
6,my
7,hand
8,i
9,tell
10,anyone
11,things
12,planned
13,tell
14,anybody
15,tell
16,anybody
17,wanna
18,push
19,me
20,wanna
21,see
22,you
23,fall
24,tell
25,anybody
26,you
27,turn
28,my
29,world
30,around
31,i
32,tell
33,anyone
34,your
35,voice
36,my
37,favourite
38,sound
39,tell
40,anybody
41,tell
42,anybody
43,wanna
44,see
45,us
46,fall
47,wanna
48,see
49,us
50,fall
51,i
52,need
53,parachute
54,baby
55,i've
56,got
57,you
58,baby
59,i've
60,got
61,you
62,i
63,need
64,parachute
65,you're
66,gonna
67,catch
68,me
69,you're
70,gonna
71,catch
72,i
73,fall
74,i
75,need
76,parachute
77,baby
78,i've
79,got
80,you
81,baby
82,i've
83,got
84,you
85,i
86,need
87,parachute
88,you're
89,gonna
90,catch
91,me
92,you're
93,gonna
94,catch
95,i
96,fall
97,believe
98,things
99,you
100,tell
101,yourself
102,late
103,night
104,you
105,your
106,worst
107,enemy
108,you'll
109,never
110,win
111,fight
112,hold
113,me
114,i'll
115,hold
116,you
117,you
118,me
119,against
120,world
121,you
122,me
123,i
124,need
125,parachute
126,baby
127,i've
128,got
129,you
130,baby
131,i've
132,got
133,you
134,i
135,need
136,parachute
137,you're
138,gonna
139,catch
140,me
141,you're
142,gonna
143,catch
144,i
145,fall
146,i
147,need
148,parachute
149,baby
150,i've
151,got
152,you
153,baby
154,i've
155,got
156,you
157,i
158,need
159,parachute
160,you're
161,gonna
162,catch
163,me
164,you're
165,gonna
166,catch
167,i
168,fall
169,i
170,fall
171,love
172,i
173,fall
174,i
175,fall
176,love
177,i
178,fall
179,i
180,fall
181,love
182,i
183,fall
184,i
185,fall
186,love
187,i'll
188,fall
189,you
190,i
191,fall
192,love
193,i
194,fall
195,i
196,fall
197,love
198,i
199,fall
200,i
201,fall
202,love
203,i
204,fall
205,i
206,fall
207,love
208,i'll
209,fall
210,you
211,i
212,need
213,parachute
214,baby
215,i've
216,got
217,you
218,baby
219,i've
220,got
221,you
222,i
223,need
224,parachute
225,you're
226,gonna
227,catch
228,me
229,you're
230,gonna
231,catch
232,i
233,fall
234,i
235,need
236,parachute
237,baby
238,i've
239,got
240,you
241,baby
242,i've
243,got
244,you
245,i
246,need
247,parachute
248,you're
249,gonna
250,catch
251,me
252,you're
253,gonna
254,catch
255,i
256,fall
