,No. 1 Party Anthem_Arctic Monkeys
0,prowl
1,wondering
2,whether
3,left
4,already
5,leather
6,jacket
7,collar
8,popped
9,like
10,antenna
11,never
12,knowing
13,stop
14,sunglasses
15,indoors
16,par
17,course
18,lights
19,floors
20,sweat
21,walls
22,cages
23,poles
24,call
25,search
26,soul
27,put
28,hold
29,sly
30,indoor
31,smoke
32,calls
33,folks
34,run
35,oldest
36,friends
37,sipping
38,drink
39,laughing
40,imaginary
41,jokes
42,signals
43,sent
44,eyes
45,invite
46,approach
47,seems
48,though
49,lumps
50,throat
51,swallowed
52,got
53,going
54,come
55,come
56,come
57,come
58,come
59,come
60,number
61,one
62,party
63,anthem
64,certified
65,mind
66,blower
67,knowing
68,full
69,well
70,may
71,suggest
72,there's
73,somewhere
74,might
75,know
76,get
77,ball
78,roll
79,drunken
80,monologues
81,confused
82,like
83,i'm
84,falling
85,love
86,want
87,ya
88,good
89,look
90,like
91,could
92,come
93,come
94,come
95,come
96,come
97,come
98,number
99,one
100,party
101,anthem
102,come
103,come
104,come
105,moment's
106,gone
107,number
108,one
109,party
110,anthem
111,yeah
112,yeah
113,bridge
114,look
115,love
116,rush
117,blood
118,"""she's"
119,"me""s"
120,gallic
121,shrug
122,shutterbugs
123,camera
124,plus
125,black
126,&
127,white
128,color
129,dodge
130,good
131,time
132,girls
133,cubicles
134,house
135,fun
136,number
137,one
138,party
139,anthem
140,oh
141,come
142,come
143,come
144,come
145,come
146,come
147,come
148,come
149,come
150,come
151,come
152,come
153,moment's
154,gone
155,number
156,one
157,party
158,anthem
159,number
160,one
161,party
162,anthem
163,number
164,one
165,party
166,anthem
167,yeah
168,yeah
