,You Are the Sunshine of My Life_Stevie Wonder
0,jim
1,gilstrap
2,&
3,lani
4,groves
5,sunshine
6,life
7,that's
8,i'll
9,always
10,around
11,apple
12,eye
13,forever
14,stay
15,heart
16,stevie
17,wonder
18,feel
19,like
20,beginning
21,though
22,i've
23,loved
24,million
25,years
26,thought
27,love
28,ending
29,i'd
30,find
31,drowning
32,tears
33,stevie
34,wonder
35,sunshine
36,life
37,that's
38,i'll
39,always
40,around
41,apple
42,eye
43,forever
44,stay
45,heart
46,stevie
47,wonder
48,must
49,known
50,lonely
51,came
52,rescue
53,know
54,must
55,heaven
56,could
57,much
58,love
59,inside
60,stevie
61,wonder
62,sunshine
63,life
64,that's
65,i'll
66,always
67,around
68,apple
69,eye
70,forever
71,stay
72,heart
