,When The Stars Go Blue_Ryan Adams
0,dancing
1,stars
2,go
3,blue
4,dancing
5,evening
6,fell
7,dancing
8,your
9,wooden
10,shoes
11,wedding
12,gown
13,dancing
14,7th
15,street
16,dancing
17,underground
18,dancing
19,little
20,marionette
21,you
22,happy
23,you
24,go
25,you're
26,lonely
27,you
28,go
29,you're
30,blue
31,you
32,go
33,you're
34,lonely
35,i'll
36,follow
37,you
38,stars
39,go
40,blue
41,stars
42,go
43,blue
44,stars
45,go
46,blue
47,stars
48,go
49,blue
50,laughing
51,your
52,pretty
53,mouth
54,laughing
55,your
56,broken
57,eyes
58,laughing
59,your
60,lover's
61,tongue
62,lullaby
63,you
64,go
65,you're
66,lonely
67,you
68,go
69,you're
70,blue
71,you
72,go
73,you're
74,lonely
75,i'll
76,follow
77,you
78,stars
79,go
80,blue
81,stars
82,go
83,blue
84,stars
85,go
86,blue
87,stars
88,go
89,blue
