,Gypsy_Shakira
0,broke
1,my
2,heart
3,road
4,spent
5,weekends
6,sewing
7,pieces
8,back
9,crayons
10,dolls
11,pass
12,me
13,walking
14,gets
15,boring
16,you
17,learn
18,fly
19,homecoming
20,kind
21,take
22,top
23,knows
24,you
25,might
26,find
27,confess
28,my
29,sins
30,you
31,bet
32,trying
33,you
34,can't
35,always
36,win
37,‘cause
38,i'm
39,gypsy
40,you
41,coming
42,me
43,i
44,might
45,steal
46,your
47,clothes
48,wear
49,fit
50,me
51,never
52,made
53,agreements
54,like
55,gypsy
56,i
57,back
58,‘cause
59,life's
60,already
61,bit
62,me
63,i
64,cry
65,i'm
66,young
67,die
68,you're
69,gonna
70,quit
71,me
72,‘cause
73,i'm
74,gypsy
75,refrain
76,‘cause
77,i'm
78,gypsy
79,i
80,can't
81,hide
82,i've
83,done
84,scars
85,remind
86,me
87,far
88,i've
89,come
90,may
91,concern
92,run
93,scissors
94,you
95,want
96,get
97,hurt
98,‘cause
99,i'm
100,gypsy
101,you
102,coming
103,me
104,i
105,might
106,steal
107,your
108,clothes
109,wear
110,fit
111,me
112,i
113,make
114,agreements
115,like
116,gypsy
117,i
118,back
119,‘cause
120,life's
121,already
122,bit
123,me
124,i
125,cry
126,i'm
127,young
128,die
129,you're
130,gonna
131,quit
132,me
133,‘cause
134,i'm
135,gypsy
136,i
137,say
138,hey
139,you
140,you're
141,fool
142,you
143,say
144,ain't
145,way
146,life
147,goes
148,people
149,fear
150,know
151,come
152,along
153,ride
154,oh
155,yeah
156,come
157,along
158,ride
159,ooh
160,‘cause
161,i'm
162,gypsy
163,you
164,coming
165,me
166,i
167,might
168,steal
169,your
170,clothes
171,wear
172,fit
173,me
174,never
175,made
176,agreements
177,like
178,gypsy
179,i
180,back
181,‘cause
182,life's
183,already
184,bit
185,me
186,i
187,cry
188,i'm
189,young
190,die
191,you're
192,gonna
193,quit
194,me
195,‘cause
196,i'm
197,gypsy
