,Join Me_Him
0,baby
1,join
2,death
3,baby
4,join
5,death
6,baby
7,join
8,death
9,young
10,lives
11,begun
12,already
13,considering
14,escape
15,world
16,we've
17,waited
18,long
19,moment
20,come
21,we're
22,anxious
23,together
24,together
25,death
26,would
27,die
28,tonight
29,love
30,baby
31,join
32,death
33,would
34,die
35,baby
36,join
37,death
38,would
39,die
40,tonight
41,love
42,baby
43,join
44,death
45,world
46,cruel
47,place
48,we're
49,lose
50,life
51,tears
52,us
53,apart
54,let
55,death
56,bless
57,would
58,die
59,tonight
60,love
61,baby
62,join
63,death
64,would
65,die
66,baby
67,join
68,death
69,would
70,die
71,tonight
72,love
73,baby
74,join
75,death
76,bridge
77,life
78,ain't
79,worth
80,livin'
81,life
82,ain't
83,worth
84,livin'
85,life
86,ain't
87,worth
88,livin'
89,life
90,ain't
91,worth
92,livin'
93,would
94,die
95,tonight
96,love
97,baby
98,join
99,death
100,would
101,die
102,baby
103,join
104,death
105,would
106,die
107,tonight
108,love
109,baby
110,join
111,death
112,baby
113,join
114,death
