,Unison_Björk
0,one
1,hand
2,loves
3,much
4,born
5,stubborn
6,always
7,count
8,"""1"
9,"3"""
10,grown
11,private
12,branch
13,tree
14,gardener
15,discipliner
16,domestically
17,obey
18,rules
19,still
20,pre-chorus
21,never
22,thought
23,would
24,compromise
25,never
26,thought
27,would
28,compromise
29,never
30,thought
31,would
32,compromise
33,let's
34,unite
35,tonight
36,fight
37,embrace
38,tight
39,let's
40,unite
41,tonight
42,thrive
43,best
44,hermit
45,style
46,beard
47,pipe
48,parrot
49,side
50,can't
51,without
52,pre-chorus
53,never
54,thought
55,would
56,compromise
57,never
58,thought
59,would
60,compromise
61,never
62,thought
63,would
64,compromise
65,let's
66,unite
67,tonight
68,fight
69,embrace
70,tight
71,let's
72,unite
73,tonight
74,bridge
75,one
76,hand
77,loves
78,much
79,let's
80,unite
81,tonight
82,fight
83,embrace
84,tight
85,let's
86,unite
87,tonight
88,let's
89,unite
90,tonight
91,fight
92,embrace
93,tight
94,let's
95,ahhh
96,unison
97,unison
98,unison
