,Songbird_Fleetwood Mac
0,you
1,there'll
2,crying
3,you
4,sun
5,shining
6,i
7,feel
8,i'm
9,you
10,alright
11,i
12,know
13,right
14,you
15,i'll
16,give
17,world
18,you
19,i'll
20,never
21,cold
22,'cause
23,i
24,feel
25,i'm
26,you
27,alright
28,i
29,know
30,right
31,songbirds
32,singing
33,like
34,know
35,score
36,i
37,love
38,you
39,i
40,love
41,you
42,i
43,love
44,you
45,like
46,never
47,i
48,wish
49,you
50,love
51,world
52,i
53,wish
54,myself
55,songbirds
56,keep
57,singing
58,like
59,know
60,score
61,i
62,love
63,you
64,i
65,love
66,you
67,i
68,love
69,you
70,like
71,never
72,like
73,never
74,like
75,never
