,Unintended_Muse
0,you
1,could
2,my
3,unintended
4,choice
5,live
6,my
7,life
8,extended
9,you
10,could
11,one
12,i'll
13,always
14,love
15,you
16,could
17,one
18,listens
19,my
20,deepest
21,inquisitions
22,you
23,could
24,one
25,i'll
26,always
27,love
28,i'll
29,soon
30,i
31,i'm
32,busy
33,mending
34,broken
35,pieces
36,life
37,i
38,first
39,one
40,challenged
41,my
42,dreams
43,my
44,balance
45,she
46,could
47,never
48,good
49,you
50,you
51,could
52,my
53,unintended
54,choice
55,live
56,my
57,life
58,extended
59,you
60,one
61,i'll
62,always
63,love
64,i'll
65,soon
66,i
67,i'm
68,busy
69,mending
70,broken
71,pieces
72,life
73,i
74,i'll
75,soon
76,i
77,i'm
78,busy
79,mending
80,broken
81,pieces
82,life
83,i
84,you
