,Not Over You_Gavin DeGraw
0,dreams
1,that's
2,i
3,go
4,see
5,your
6,beautiful
7,face
8,anymore
9,i
10,stare
11,picture
12,you
13,listen
14,radio
15,hope
16,hope
17,there's
18,conversation
19,admit
20,good
21,alienation
22,i
23,know
24,much
25,understood
26,i
27,realize
28,you
29,ask
30,me
31,i'm
32,i
33,would
34,say
35,i'm
36,fine
37,i
38,would
39,lie
40,say
41,you're
42,my
43,mind
44,you're
45,my
46,mind
47,you're
48,my
49,mind
50,i
51,go
52,i
53,sit
54,table
55,set
56,two
57,finally
58,i'm
59,forced
60,face
61,truth
62,matter
63,i
64,say
65,i'm
66,you
67,you
68,you
69,damn
70,damn
71,girl
72,you
73,well
74,i
75,thought
76,you
77,innocent
78,took
79,heart
80,put
81,hell
82,still
83,you're
84,magnificent
85,i
86,i'm
87,boomerang
88,matter
89,you
90,throw
91,me
92,i
93,turn
94,around
95,i'm
96,back
97,game
98,even
99,better
100,old
101,me
102,old
103,me
104,i'm
105,even
106,close
107,without
108,you
109,you
110,ask
111,me
112,i'm
113,i
114,would
115,say
116,i'm
117,fine
118,i
119,would
120,lie
121,say
122,you're
123,my
124,mind
125,you're
126,my
127,mind
128,you're
129,my
130,mind
131,i
132,go
133,i
134,sit
135,table
136,set
137,two
138,finally
139,i'm
140,forced
141,face
142,truth
143,matter
144,i
145,say
146,i'm
147,you
148,i
149,chance
150,renew
151,you
152,know
153,thing
154,i
155,i
156,could
157,get
158,back
159,right
160,track
161,you'd
162,convinced
163,you
164,ask
165,me
166,i'm
167,i
168,would
169,say
170,i'm
171,fine
172,i
173,would
174,lie
175,say
176,you're
177,my
178,mind
179,i
180,go
181,i
182,sit
183,table
184,set
185,two
186,finally
187,i'm
188,forced
189,face
190,truth
191,matter
192,i
193,say
194,i'm
195,you
196,you
197,you
198,you
199,you
200,you
201,you
