,To Be Alone With You_Sufjan Stevens
0,i'd
1,swim
2,across
3,lake
4,michigan
5,i'd
6,sell
7,my
8,shoes
9,i'd
10,give
11,my
12,body
13,back
14,rest
15,room
16,alone
17,you
18,alone
19,you
20,alone
21,you
22,alone
23,you
24,you
25,gave
26,your
27,body
28,lonely
29,took
30,your
31,clothes
32,you
33,gave
34,wife
35,family
36,you
37,gave
38,your
39,ghost
40,alone
41,me
42,alone
43,me
44,alone
45,me
46,you
47,went
48,tree
49,alone
50,me
51,you
52,went
53,tree
54,i've
55,never
56,known
57,man
58,loved
59,me
