,The Power of Love_Frankie Goes to Hollywood
0,i'll
1,protect
2,hooded
3,claw
4,keep
5,vampires
6,door
7,ay
8,ay
9,ay
10,ay
11,feels
12,like
13,fire
14,i'm
15,love
16,dreams
17,like
18,angels
19,keep
20,bad
21,bay
22,bad
23,bay
24,love
25,light
26,scaring
27,darkness
28,away
29,i'm
30,love
31,purge
32,soul
33,make
34,love
35,goal
36,power
37,love
38,force
39,cleaning
40,soul
41,flame
42,burn
43,desire
44,love
45,tongues
46,fire
47,purge
48,soul
49,make
50,love
51,goal
52,i'll
53,protect
54,hooded
55,claw
56,keep
57,vampires
58,door
59,chips
60,i'll
61,around
62,undying
63,death-defying
64,love
65,envy
66,hurt
67,let
68,beautiful
69,sparkling
70,love
71,flowers
72,pearls
73,pretty
74,girls
75,love
76,like
77,energy
78,rushin'
79,rushin'
80,inside
81,power
82,love
83,force
84,cleaning
85,soul
86,flame
87,burn
88,desire
89,love
90,tongues
91,fire
92,purge
93,soul
94,make
95,love
96,goal
97,time
98,go
99,sublime
100,lovers
101,entwine
102,divine
103,divine
104,love
105,danger
106,love
107,pleasure
108,love
109,pure
110,treasure
111,i'm
112,love
113,purge
114,soul
115,make
116,love
117,goal
118,power
119,love
120,force
121,cleaning
122,soul
123,power
124,love
125,force
126,sky-scraping
127,dove
128,flame
129,burn
130,desire
131,love
132,tongues
133,fire
134,purge
135,soul
136,make
137,love
138,goal
139,i'll
140,protect
141,hooded
142,claw
143,keep
144,vampires
145,door
